Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","Carson Kelly","DET",20,34,30,7,6,1,0,0,4,1,4,0,6,0,0,0,1,0,0,0.233333333,13620
"Total","Jeimer Candelario","CIN",61,124,109,24,17,7,0,0,10,7,12,0,28,3,0,0,4,0,1,0.220183486,13621
"Total","Corey Seager","TEX",61,111,106,27,20,3,0,4,11,6,4,0,32,1,0,0,1,0,0,0.254716981,13624
"Total","Tyrone Taylor","NYM",46,74,70,13,9,2,1,1,8,2,4,0,19,0,0,0,3,2,0,0.185714285,13675
"Total","Jacob Stallings","COL",34,63,50,15,6,5,1,3,9,8,11,1,17,1,1,0,3,0,0,0.3,13723
"Total","David Dahl","PHI",7,8,6,1,1,0,0,0,1,1,1,0,2,0,1,0,0,0,0,0.166666666,13744
"Total","Tomas Nido","2 Tms",28,50,44,6,5,1,0,0,3,4,3,0,17,0,1,2,1,0,0,0.136363636,13755
"Total","Chris Taylor","LAD",40,70,58,9,7,0,1,1,5,4,10,0,20,0,1,1,4,0,1,0.155172413,13757
"Total","Travis Jankowski","TEX",7,10,10,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,13768
"Total","Rob Refsnyder","BOS",49,94,78,24,16,5,0,3,7,12,13,1,24,3,0,0,1,0,0,0.307692307,13770
"Total","Joey Wendle","NYM",5,5,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,13853
"Total","Tyler Heineman","BOS",1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13897
"Total","Eric Haase","MIL",4,9,9,5,3,0,0,2,3,3,0,0,3,0,0,0,0,0,0,0.555555555,14111
"Total","Joey Gallo","WSN",26,47,44,5,3,1,0,1,3,3,2,0,22,1,0,0,0,0,0,0.113636363,14128
"Total","Daniel Vogelbach","TOR",4,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,14130
"Total","Byron Buxton","MIN",33,71,66,20,12,4,1,3,11,8,4,0,17,1,0,0,0,1,0,0.303030303,14161
"Total","Carlos Correa","MIN",35,73,64,19,12,1,1,5,15,14,6,2,12,1,1,0,0,0,0,0.296875,14162
"Total","Jorge Soler","SFG",48,103,87,21,10,8,0,3,17,8,14,0,25,2,0,0,1,0,0,0.24137931,14221
"Total","Mitch Haniger","SEA",47,97,89,12,11,1,0,0,6,5,8,0,29,0,0,0,3,0,0,0.13483146,14274
"Total","Matt Olson","ATL",48,113,101,28,16,5,1,6,14,16,7,0,28,4,1,0,2,0,0,0.277227722,14344
"Total","Joey Meneses","WSN",47,96,85,15,12,2,0,1,4,14,6,1,23,3,2,0,5,2,0,0.176470588,14366
"Total","Harold Ramirez","2 Tms",37,81,81,23,20,1,0,2,10,11,0,0,16,0,0,0,0,0,0,0.283950617,14387
"Total","Jake Cave","COL",20,25,25,3,3,0,0,0,2,4,0,0,8,0,0,0,1,0,0,0.12,14477
"Total","Anthony Santander","BAL",47,103,91,20,11,4,0,5,13,12,9,0,23,3,0,0,1,0,0,0.219780219,14551
"Total","David Bote","CHC",13,23,23,7,4,3,0,0,1,4,0,0,5,0,0,0,1,0,0,0.304347826,14593
"Total","Manuel Margot","MIN",49,104,93,27,20,4,0,3,13,14,9,0,15,0,2,0,1,2,0,0.29032258,14712
"Total","Kyle Farmer","MIN",36,64,57,13,10,3,0,0,6,6,4,0,11,3,0,0,2,1,3,0.228070175,14813
"Total","Mike Yastrzemski","SFG",28,46,39,10,7,1,2,0,5,5,4,0,14,3,0,0,1,1,0,0.256410256,14854
"Total","Victor Caratini","HOU",12,23,22,8,6,2,0,0,1,3,0,0,2,0,1,0,1,0,0,0.363636363,14968
