Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Blake Sabol","SFG",121,382,13,39,45,4,0.07591623,0.329842931,0.149122807,0.341463414,0.242690058,0.313157894,0.391812865,0.3080910681734613,,96.28036172176529,-0.19343340944033116,-2.0441864105964695,-4.275868235388771,0.6686763128601154,"Blake Sabol",25805,666165
"Trevor Larnach","MIN",114,418,17,51,70,3,0.107655502,0.272727272,0.192411924,0.276859504,0.227642276,0.30861244,0.4200542,0.31553080499315145,,103.09962171181405,0.03866755322087556,1.548162777998332,-9.346137167070992,0.6286603579456808,"Trevor Larnach",21501,663616
"Akil Baddoo","DET",135,422,13,47,38,15,0.118483412,0.260663507,0.160326087,0.251012145,0.203804347,0.297619047,0.364130434,0.29055521733452827,,82.95699419321073,4.299166176933795,-4.230508166024832,-3.886303832521662,0.618757552421829,"Akil Baddoo",22168,668731
"Will Brennan","CLE",206,681,13,69,65,16,0.04698972,0.123348017,0.112676056,0.284403669,0.262910798,0.303964757,0.375586854,0.29533836205917763,,89.2716181395829,-1.2991842590854503,-10.097080384101934,-6.830164275597781,0.6181912928290043,"Will Brennan",25660,686823
"Reese McGuire","BOS",120,349,4,25,33,5,0.068767908,0.252148997,0.090032154,0.322869955,0.24437299,0.30116959,0.334405144,0.281815915428407,,72.26527621303251,-1.4178302336949855,-12.860019866462007,6.9629601642955095,0.582546688637577,"Reese McGuire",15674,624512
"Brandon Crawford","- - -",115,384,8,36,41,3,0.091145833,0.263020833,0.120943953,0.243589743,0.191740412,0.274151436,0.312684365,0.2613532315374045,,64.99179984619079,-0.061106020086299395,-16.595958065687473,9.144007387571037,0.5587657372512815,"Brandon Crawford",5343,543063
"Ben Rice","NYY",18,64,4,8,12,0,0.125,0.171875,0.272727273,0.268292682,0.272727272,0.359375,0.545454545,0.3850750233978033,,153.55708889108303,-0.3821447119116783,3.621672584108298,-0.4794678119942546,0.5398065310280649,"Ben Rice",29576,700250
"Heston Kjerstad","BAL",30,84,5,7,15,0,0.083333333,0.297619047,0.243243243,0.34090909,0.27027027,0.34939759,0.513513513,0.36799285906117135,,140.32637411228103,0.08112559682922438,4.041631991152374,-1.584104093722999,0.5391459505781554,"Heston Kjerstad",31166,677008
"Joey Loperfido","HOU",27,83,1,8,11,2,0.048192771,0.361445783,0.105263158,0.444444444,0.276315789,0.329268292,0.381578947,0.3153135195011046,,104.66801039777629,0.40410088608041406,0.8566724071650276,1.4351848596706986,0.5156168810550591,"Joey Loperfido",29630,694388
"Kody Clemens","PHI",73,213,7,23,23,0,0.051643192,0.258215962,0.174129354,0.287769784,0.233830845,0.276995305,0.407960199,0.29589457663012225,,85.29154387806275,0.1235526321688667,-3.8199606198088896,1.4288463070988655,0.4983344525838487,"Kody Clemens",20572,665019
