Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Joe Musgrove","SDP",27,303,2.7972973,67,13,0,25,23,7,16,1,7,76,0.241877256,0.297029702,0.364620938,0.2893923682882296,12970
"Total","Joe Ross","MIL",9,94,3.57352941,20,4,0,12,9,1,6,0,0,16,0.235294117,0.279569892,0.317647058,0.2632510104487019,12972
"Total","Austin Hedges","2 Tms",5,10,3.85714286,3,1,0,1,1,1,0,0,0,1,0.3,0.3,0.7,0.4130394697189331,12976
"Total","Andrew Chafin","3 Tms",89,150,3.20792079,30,8,1,13,12,0,18,0,1,45,0.23076923,0.326666666,0.307692307,0.2886678405602773,12988
"Total","Colten Brewer","2 Tms",19,62,2.8125,9,2,0,7,5,1,4,0,2,17,0.163636363,0.241935483,0.254545454,0.22626195896056392,12997
"Total","Anthony DeSclafani","SFG",19,217,5.47058824,59,14,1,34,31,8,9,0,1,35,0.293532338,0.322429906,0.492537313,0.3447417978928468,13050
"Total","Yu Darvish","SDP",35,423,4.03654485,99,23,1,48,45,12,33,0,4,107,0.260526315,0.322274881,0.421052631,0.321874959208954,13074
"Total","Gerrit Cole","NYY",39,457,3.29464286,93,19,1,43,41,14,32,0,3,121,0.223021582,0.281938325,0.374100719,0.2864159542558477,13125
"Total","Derek Law","2 Tms",91,205,3.8028169,43,6,1,20,20,4,24,0,1,48,0.238888888,0.331707317,0.35,0.30638031261723214,13133
"Total","Eduardo Rodriguez","DET",23,137,2.62135922,23,6,1,11,10,2,11,0,0,35,0.184,0.25,0.296,0.24301523452295976,13164
"Total","Zach Davies","ARI",18,203,6.75,51,6,3,35,34,5,23,0,1,31,0.286516853,0.369458128,0.438202247,0.3525875166719183,13183
"Total","Jordan Weems","WSN",81,171,6.27272727,44,10,2,27,23,4,26,4,2,29,0.309859154,0.423529411,0.492957746,0.39298731375889606,13190
"Total","Michael Fulmer","CHC",47,88,5.81538461,22,5,0,15,14,5,9,0,0,25,0.285714285,0.352272727,0.545454545,0.3760551532561129,13218
"Total","Ross Stripling","2 Tms",34,326,5,97,20,1,46,40,11,17,2,1,62,0.318032786,0.353846153,0.498360655,0.3633820167266917,13273
"Total","Matt Carasiti","COL",22,75,13.5,31,6,0,21,20,4,8,0,0,6,0.469696969,0.52,0.742424242,0.5288924805323283,13276
"Total","Danny Coulombe","BAL",76,126,1.14893617,27,2,0,5,4,0,8,0,1,29,0.23076923,0.285714285,0.247863247,0.24505192750976199,13293
"Total","Ildemaro Vargas","WSN",3,10,3.85714286,2,0,0,1,1,1,0,0,1,0,0.222222222,0.3,0.555555555,0.36126373410224916,13324
"Total","Jake Lamb","LAA",1,2,0,1,1,0,0,0,0,0,0,0,0,0.5,0.5,1,0.6218811869621277,13329
"Total","Luis Cessa","CIN",7,62,13.5,24,8,0,17,17,3,6,0,0,4,0.436363636,0.483870967,0.745454545,0.5098512288062803,13345
"Total","Hoby Milner","MIL",110,204,2.61290323,41,5,1,18,15,5,9,0,2,44,0.216931216,0.257425742,0.333333333,0.2586153087639573,13346
"Total","Luke Maile","CIN",4,11,3.375,3,1,0,1,1,0,0,0,0,0,0.3,0.272727272,0.4,0.27353045073422516,13355
"Total","Steven Matz","STL",29,117,2.89285714,23,3,0,9,9,2,9,0,4,22,0.225490196,0.313043478,0.31372549,0.2852450510729914,13361
"Total","Dylan Floro","3 Tms",97,170,5.83783784,49,9,1,26,24,3,14,3,0,37,0.316129032,0.370588235,0.44516129,0.34863808590494944,13394
"Total","Matt Koch","COL",35,76,8.80434783,25,2,0,15,15,4,5,0,1,17,0.357142857,0.407894736,0.557142857,0.414822004343334,13420
"Total","Drew VerHagen","STL",48,82,5.12068966,17,2,0,12,11,4,9,2,0,13,0.236111111,0.31707317,0.430555555,0.31353910341858865,13424
"Total","Marcus Stroman","2 Tms",46,517,3.17213115,98,21,3,50,43,12,58,0,8,89,0.217777777,0.3172147,0.357777777,0.30223011486304335,13431
"Total","Pierce Johnson","2 Tms",91,176,5.75409836,36,7,0,32,26,9,23,1,0,62,0.238410596,0.337142857,0.463576158,0.34363157002405187,13435
"Total","Taylor Rogers","SFG",96,174,2.04545455,27,7,0,12,10,1,19,0,2,61,0.178807947,0.277456647,0.245033112,0.24414603765300244,13449
"Total","Lucas Sims","CIN",87,168,4.26315789,29,10,0,20,18,3,21,1,7,34,0.213235294,0.343373493,0.352941176,0.31308388673897947,13470
"Total","Daniel Norris","CLE",7,21,3.85714285,4,0,0,3,2,1,4,0,0,3,0.25,0.38095238,0.4375,0.3540626877830142,13475
"Total","Matt Bowman","4 Tms",12,33,5.68421054,7,2,0,4,4,1,5,1,1,4,0.259259259,0.393939393,0.444444444,0.36168243549764156,13528
"Total","Blake Snell","2 Tms",34,154,4.79439252,22,4,0,20,19,4,26,0,0,49,0.173228346,0.31372549,0.299212598,0.28444673383937163,13543
"Total","Steven Okert","2 Tms",90,147,2.80188679,28,7,0,12,11,3,13,0,2,45,0.217054263,0.298611111,0.341085271,0.2855780352320936,13580
"Total","Robert Stephenson","2 Tms",47,73,4,13,3,0,9,8,4,8,2,0,22,0.206349206,0.291666666,0.444444444,0.3031186614717756,13594
