Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Steven Matz","STL",5,19,4.5,5,1,0,2,2,0,2,0,1,1,0.3125,0.421052631,0.375,0.3627978186858328,13361
"Total","Dylan Floro","WSN",38,59,2.34782609,13,2,0,5,4,0,3,0,0,10,0.232142857,0.27118644,0.267857142,0.2424481268656456,13394
"Total","Matt Koch","COL",2,3,27,2,0,0,3,3,1,1,0,0,0,1,1,2.5,1.2104632258415222,13420
"Total","Marcus Stroman","NYY",19,211,3.69863014,45,9,3,20,20,8,24,0,5,32,0.248618784,0.3507109,0.464088397,0.3546153976453989,13431
"Total","Pierce Johnson","ATL",29,60,6.13636363,11,1,0,11,10,2,7,0,0,22,0.207547169,0.3,0.339622641,0.28786113262176516,13435
"Total","Taylor Rogers","SFG",39,69,2.93478261,17,5,0,6,5,1,8,0,1,22,0.283333333,0.376811594,0.416666666,0.3522834147232166,13449
"Total","Lucas Sims","CIN",27,48,5.4,8,0,0,7,7,1,6,0,1,8,0.205128205,0.319148936,0.282051282,0.2787963545068781,13470
"Total","Matt Bowman","3 Tms",9,29,6.00000001,5,1,0,4,4,1,4,0,1,4,0.208333333,0.344827586,0.375,0.3257772162042815,13528
"Total","Blake Snell","SFG",8,36,9,4,0,0,9,9,2,5,0,0,13,0.129032258,0.25,0.322580645,0.2592420180638631,13543
"Total","Steven Okert","MIN",30,50,2.84210526,7,3,0,5,4,0,3,0,2,12,0.159090909,0.244897959,0.227272727,0.2208246016988949,13580
"Total","Patrick Wisdom","CHC",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13602
"Total","Jakob Junis","MIL",9,42,2.31428571,7,0,0,4,3,2,2,0,0,9,0.179487179,0.214285714,0.333333333,0.23602998682430812,13619
"Total","Clay Holmes","NYY",33,79,2.94545455,20,1,0,11,6,2,4,0,1,14,0.273972602,0.316455696,0.369863013,0.3022071507912648,13649
"Total","Tayler Scott","HOU",36,92,1.15714286,12,1,0,6,3,1,10,0,1,16,0.153846153,0.252747252,0.205128205,0.21727318030137283,13652
"Total","Max Fried","ATL",15,92,4.11864407,28,2,0,10,9,3,6,0,2,21,0.333333333,0.391304347,0.464285714,0.37600466025912244,13743
"Total","Tyler Duffey","KCR",9,19,7.36363636,4,3,0,3,3,0,3,0,1,5,0.285714285,0.421052631,0.5,0.3920387061018693,13758
"Total","Chris Stratton","KCR",34,65,1.97560976,9,0,0,3,3,0,15,0,0,16,0.18,0.369230769,0.18,0.28155548847638645,13761
"Total","Dominic Leone","CHW",13,29,3,6,1,0,4,2,1,5,1,0,6,0.25,0.379310344,0.416666666,0.34320866635867525,13763
