Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","Josh Bell","MIA",87,277,253,59,41,10,1,7,24,28,18,0,61,4,1,0,8,0,0,0.233201581,13145
"Total","Jorge Polanco","SEA",59,184,162,33,23,4,0,6,16,15,20,1,62,2,0,0,5,2,1,0.203703703,13152
"Total","Orlando Arcia","ATL",89,261,245,55,38,10,0,7,20,22,10,0,50,2,3,1,8,0,0,0.224489795,13185
"Total","Max Muncy","LAD",34,105,87,19,7,5,0,7,15,21,15,2,29,0,3,0,0,0,0,0.218390804,13301
"Total","Ildemaro Vargas","WSN",54,121,104,24,18,5,0,1,10,16,11,0,11,0,3,3,4,4,3,0.23076923,13324
"Total","Omar Narvaez","NYM",22,59,57,9,7,2,0,0,3,5,2,0,10,0,0,0,2,0,0,0.157894736,13338
"Total","Luke Maile","CIN",31,76,67,11,8,3,0,0,3,1,5,0,28,4,0,0,2,2,0,0.164179104,13355
"Total","Christian Walker","ARI",97,310,268,68,36,15,0,17,40,47,34,3,75,3,5,0,4,2,1,0.253731343,13419
"Total","Tom Murphy","SFG",9,18,17,2,1,0,0,1,2,1,1,0,6,0,0,0,0,0,0,0.117647058,13499
"Total","Jose Ramirez","CLE",91,289,265,61,37,10,0,14,40,50,22,5,40,1,1,0,2,10,0,0.230188679,13510
"Total","Jesse Winker","WSN",88,258,212,54,33,11,0,10,40,34,39,2,51,4,1,2,7,8,3,0.254716981,13590
"Total","Patrick Wisdom","CHC",23,44,39,6,2,2,0,2,3,3,4,0,14,0,0,1,0,1,0,0.153846153,13602
"Total","Mookie Betts","LAD",61,213,180,51,34,10,2,5,32,23,32,0,25,1,0,0,2,8,0,0.283333333,13611
"Total","Ketel Marte","ARI",86,267,228,59,38,10,2,9,41,32,31,1,50,1,7,0,4,4,1,0.258771929,13613
"Total","Carson Kelly","DET",49,158,140,32,21,3,1,7,16,26,12,0,33,5,1,0,2,0,0,0.228571428,13620
"Total","Jeimer Candelario","CIN",82,239,223,54,25,12,2,15,28,39,11,1,57,2,3,0,3,4,2,0.242152466,13621
"Total","Corey Seager","TEX",82,265,221,59,34,10,0,15,37,41,41,10,35,2,1,0,5,1,0,0.266968325,13624
"Total","Tyrone Taylor","NYM",60,138,128,33,18,8,2,5,23,22,5,0,30,3,1,1,1,4,2,0.2578125,13675
"Total","Jacob Stallings","COL",44,117,104,26,17,7,0,2,11,15,8,0,22,4,0,1,5,0,0,0.25,13723
"Total","David Dahl","PHI",19,54,52,11,6,2,0,3,5,7,2,0,19,0,0,0,0,0,0,0.211538461,13744
"Total","Tomas Nido","2 Tms",40,90,86,19,12,3,0,4,11,8,2,0,18,0,1,1,0,0,0,0.220930232,13755
"Total","Chris Taylor","LAD",47,111,99,17,10,5,0,2,11,11,10,0,39,2,0,0,0,2,0,0.171717171,13757
"Total","Travis Jankowski","TEX",54,139,129,28,25,3,0,0,12,9,7,0,28,3,0,0,3,6,1,0.217054263,13768
"Total","Rob Refsnyder","BOS",42,110,98,29,19,8,1,1,13,12,8,0,26,2,1,0,3,1,2,0.295918367,13770
"Total","Joey Wendle","NYM",13,32,31,8,7,1,0,0,2,1,1,0,8,0,0,0,0,1,0,0.258064516,13853
"Total","Tyler Heineman","BOS",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13897
"Total","Eric Haase","MIL",5,15,14,5,4,0,0,1,1,5,1,0,7,0,0,0,0,0,0,0.357142857,14111
"Total","Joey Gallo","WSN",39,104,84,18,8,6,0,4,14,8,17,0,43,2,1,0,0,1,1,0.214285714,14128
"Total","Daniel Vogelbach","TOR",29,72,63,12,6,5,0,1,4,8,9,0,15,0,0,0,3,0,0,0.19047619,14130
"Total","Byron Buxton","MIN",69,204,187,50,26,14,2,8,33,29,8,1,56,7,2,0,3,5,2,0.267379679,14161
"Total","Carlos Correa","MIN",70,232,204,64,41,14,1,8,36,31,23,0,40,2,3,0,5,0,0,0.31372549,14162
"Total","Jorge Soler","SFG",84,253,224,50,30,11,1,8,29,28,24,0,65,1,3,0,4,1,0,0.223214285,14221
"Total","Mitch Haniger","SEA",73,195,172,41,25,8,0,8,20,27,21,0,52,1,1,0,4,0,0,0.238372093,14274
"Total","Matt Olson","ATL",94,296,262,53,34,13,0,6,26,24,29,2,81,3,2,0,4,0,0,0.202290076,14344
"Total","Joey Meneses","WSN",66,203,184,45,35,8,0,2,14,27,15,0,38,1,3,0,4,0,0,0.244565217,14366
"Total","Harold Ramirez","2 Tms",45,112,106,30,26,3,1,0,14,12,3,0,23,2,1,0,2,5,2,0.283018867,14387
"Total","Jake Cave","COL",66,182,165,45,31,8,3,3,27,18,15,1,46,0,2,0,5,4,2,0.272727272,14477
"Total","Anthony Santander","BAL",90,294,269,68,34,11,2,21,39,48,19,0,51,4,2,0,2,1,0,0.252788104,14551
"Total","David Bote","CHC",9,15,14,5,5,0,0,0,2,0,1,0,5,0,0,0,0,0,0,0.357142857,14593
"Total","Manuel Margot","MIN",56,115,106,19,13,5,1,0,14,11,6,0,18,3,0,0,3,2,0,0.179245283,14712
"Total","Kyle Farmer","MIN",40,80,70,12,5,7,0,0,8,9,7,0,18,3,0,0,2,1,2,0.171428571,14813
"Total","Mike Yastrzemski","SFG",81,220,199,49,29,8,4,8,27,28,19,1,59,1,0,1,2,1,0,0.246231155,14854
"Total","Tony Kemp","BAL",3,7,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,14894
"Total","Victor Caratini","HOU",35,92,83,18,9,3,1,5,12,15,5,0,13,2,2,0,2,0,0,0.216867469,14968
"Total","Ryan McMahon","COL",89,276,239,61,38,14,0,9,35,32,34,3,73,0,1,0,5,3,3,0.255230125,15112
"Total","Mitch Garver","SEA",79,233,197,28,12,10,0,6,16,18,29,0,81,5,2,0,5,0,0,0.142131979,15161
"Total","Tim Anderson","MIA",53,142,140,28,27,1,0,0,8,6,2,0,40,0,0,0,5,1,3,0.2,15172
"Total","Jake Bauers","MIL",68,188,161,35,22,6,1,6,22,28,23,1,64,4,0,0,0,7,1,0.217391304,15194
"Total","Adam Frazier","KCR",63,174,154,29,19,7,0,3,18,8,16,0,36,3,0,1,0,1,0,0.188311688,15223
"Total","Austin Wynns","CIN",3,7,7,2,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0.285714285,15271
"Total","Mike Tauchman","CHC",67,217,188,46,32,8,1,5,30,18,26,0,40,2,1,0,3,3,1,0.244680851,15274
