Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","Yasmani Grandal","2 Tms",77,133,121,29,22,4,0,3,14,14,10,1,33,1,0,1,5,0,0,0.239669421,11368
"Total","Drew Maggi","PIT",2,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11381
"Total","Gary Sanchez","3 Tms",65,134,125,31,13,5,0,13,23,29,8,0,32,1,0,0,0,0,0,0.248,11442
"Total","Mark Canha","3 Tms",116,236,198,54,32,13,1,8,28,27,31,3,37,3,4,0,5,6,0,0.272727272,11445
"Total","Christian Yelich","MIL",132,250,227,60,45,7,1,7,30,25,22,1,54,1,0,0,5,12,0,0.26431718,11477
"Total","Henry Ramos","CIN",13,26,24,6,5,1,0,0,2,1,1,0,8,1,0,0,0,1,0,0.25,11481
"Total","Michael A. Taylor","2 Tms",93,179,161,38,17,9,2,10,28,26,13,0,56,1,2,2,1,1,0,0.236024844,11489
"Total","Manny Machado","SDP",108,244,217,62,42,9,0,11,31,35,25,3,47,1,1,0,4,3,2,0.285714285,11493
"Total","Bryce Harper","PHI",147,303,262,78,44,18,1,15,41,51,38,2,73,1,2,0,11,3,3,0.297709923,11579
"Total","Willson Contreras","STL",78,168,144,43,21,15,0,7,23,29,23,1,39,0,1,0,6,3,2,0.298611111,11609
"Total","Brandon Drury","LAA",81,161,148,38,25,6,0,7,18,16,11,0,39,1,1,0,3,0,0,0.256756756,11615
"Total","Elias Diaz","COL",102,211,195,45,29,10,1,5,20,22,13,1,33,1,2,0,9,0,0,0.23076923,11680
"Total","Nick Castellanos","PHI",143,291,269,78,48,14,2,14,34,53,18,0,72,2,2,0,4,3,0,0.289962825,11737
"Total","J.T. Realmuto","PHI",107,228,209,57,33,10,3,11,33,23,14,3,63,4,0,0,3,3,1,0.272727272,11739
"Total","Joc Pederson","2 Tms",55,71,58,10,6,2,0,2,9,4,11,0,25,2,0,0,0,0,0,0.172413793,11899
"Total","Hanser Alberto","CHW",11,16,14,5,2,2,0,1,4,6,0,0,1,1,0,1,0,0,0,0.357142857,11902
"Total","Nick Martini","CIN",28,46,44,9,5,2,1,1,7,3,1,0,12,1,0,0,0,0,1,0.204545454,12005
"Total","Jon Berti","2 Tms",74,144,135,42,33,6,1,2,21,8,8,0,31,0,0,1,1,6,3,0.311111111,12037
"Total","Scott McGough","ARI",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12056
