Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Kyle Hendricks","CHC",17,154,5.35135135,38,3,1,23,22,3,11,0,1,27,0.273381294,0.324675324,0.374100719,0.3067678271175979,12049
"Total","Scott McGough","ARI",20,71,11.73913044,19,7,1,22,20,5,8,0,1,10,0.316666666,0.394366197,0.716666666,0.4539855416391937,12056
"Total","Yimi Garcia","TOR",28,64,1,6,2,0,2,2,0,3,0,2,23,0.103448275,0.174603174,0.137931034,0.15178358554840088,12095
"Total","Aaron Brooks","OAK",5,72,5.4,19,1,0,12,10,2,4,0,0,9,0.292307692,0.319444444,0.4,0.3093011329571406,12272
"Total","Chris Bassitt","TOR",20,239,2.04069767,54,6,0,15,13,2,17,1,7,58,0.252336448,0.327731092,0.308411214,0.2885769766594287,12304
"Total","Colin Rea","MIL",19,203,2.7,42,9,0,15,15,4,10,0,4,39,0.222222222,0.275862068,0.333333333,0.27073830366134644,12317
"Total","Jacob Barnes","WSN",34,108,2.7,27,4,1,9,8,3,3,0,0,24,0.262135922,0.277777777,0.40776699,0.29312363432513344,12323
"Total","Seth Lugo","KCR",20,246,2.7,49,10,1,21,19,7,10,0,2,53,0.213043478,0.25,0.356521739,0.2635713481023663,12447
"Total","Blake Treinen","LAD",30,62,0,10,1,0,0,0,0,7,0,0,14,0.181818181,0.274193548,0.2,0.22644071329024532,12572
"Total","Nick Ramirez","LAD",7,35,9.94736843,13,4,0,7,7,0,4,1,0,1,0.419354838,0.485714285,0.548387096,0.4427509395515217,12575
"Total","Adrian Houser","NYM",23,154,6.42857143,37,11,0,27,25,3,14,0,2,26,0.270072992,0.344155844,0.416058394,0.3339909558946436,12718
"Total","Nick Martinez","CIN",27,132,1.57281553,27,12,0,7,6,1,4,0,0,29,0.212598425,0.234848484,0.330708661,0.2445697865702889,12730
"Total","Rafael Montero","HOU",34,76,2.89285714,13,2,0,6,6,2,8,0,3,14,0.2,0.315789473,0.323076923,0.29298353430471924,12760
"Total","Chris Devenski","TBR",17,57,11.11764706,15,2,1,15,14,6,10,0,0,13,0.319148936,0.438596491,0.787234042,0.5027975366826642,12763
"Total","Sonny Gray","STL",18,228,3.45,40,7,0,27,23,7,10,0,0,73,0.187793427,0.222222222,0.319248826,0.23592138714260524,12768
"Total","John Brebbia","CHW",37,89,4.11864407,25,4,0,9,9,1,4,0,1,23,0.297619047,0.337078651,0.38095238,0.3173151150178374,12777
"Total","Burch Smith","2 Tms",28,85,2.61290323,18,3,0,7,6,0,6,0,1,16,0.24,0.301204819,0.28,0.26370573259261715,12784
"Total","Michael Kelly","OAK",26,68,1.01886792,15,3,1,3,2,0,3,0,0,11,0.234375,0.268656716,0.3125,0.25608373666877177,12791
"Total","Mike Clevinger","CHW",4,34,14.4,11,2,1,9,8,2,7,1,0,7,0.407407407,0.529411764,0.777777777,0.5353901314012932,12808
"Total","Andrew Kittredge","STL",46,123,2.22680412,23,3,0,10,8,4,7,0,0,28,0.203539823,0.245901639,0.336283185,0.2538650094485674,12828
"Total","Shawn Armstrong","TBR",35,115,4.28048781,24,4,1,13,13,2,10,0,1,31,0.233009708,0.304347826,0.349514563,0.29029114401858785,12857
"Total","James McCann","BAL",1,3,0,1,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0.2944977879524231,12859
"Total","Matt Barnes","WSN",12,27,4.5,9,2,0,4,3,0,1,0,0,5,0.346153846,0.37037037,0.423076923,0.3477966851658291,12863
