Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Max Fried","ATL",15,5,0,31,31,179.2,8.415584534704665,2.4545454892888605,0.7513914763129166,0.2883435582822086,0.77894737,0.582329317,0.125,94.20616060534165,2.9053803750766107,,3.338527982828394,3.2842099181446502,3.639854669570923,"Max Fried",13743,608331
"Garrett Crochet","CHW",6,8,0,32,19,118,12.050848334180177,2.745762911585357,0.8389831118733034,0.29304029304029305,0.76530612,0.436170212,0.1,97.03150983537947,3.1271188715277676,,2.7779710342140573,2.955876313343478,3.611295446753502,"Garrett Crochet",27463,676979
"Patrick Sandoval","LAA",9,21,0,44,44,224.1,8.384844457438978,4.3729571572289405,0.8023774600420075,0.3181818181818182,0.65408805,0.460506706,0.095238095,93.2629476092706,4.4531949032331415,,4.070659471558109,4.391083082903152,3.5739991664886475,"Patrick Sandoval",19447,663776
"MacKenzie Gore","WSN",13,17,0,45,45,230.1,10.276411225478425,3.555716431629417,1.3285094359934084,0.33444259567387685,0.7472067,0.371019108,0.13877551,95.67944467467882,4.180897342685139,,4.143777700194812,3.9007242040976657,3.530336022377014,"MacKenzie Gore",22201,669022
"Braxton Garrett","MIA",11,9,0,38,37,196.2,8.69491570397927,1.5101695696385047,1.144067855786746,0.3039568345323741,0.72596154,0.49568221,0.149700598,90.8030494947112,3.981356138137876,,3.7062366880615407,3.4226828142831827,3.4754174947738647,"Braxton Garrett",21844,666129
"Matt Strahm","PHI",13,6,2,92,10,121.2,11.317809520312842,1.8493152810968696,0.8876713349264974,0.2807017543859649,0.76996198,0.317406143,0.088235294,93.66619591346154,2.810959227267242,,2.7372319267880667,3.246660779892918,3.462056279182434,"Matt Strahm",13799,621381
"Tanner Scott","MIA",15,10,25,111,0,116,11.327587324430596,3.646552083892041,0.3879310727544725,0.2548262548262548,0.7826087,0.501945525,0.066666666,96.86063280419766,2.0172415783232567,,2.588204413043319,3.04942095324303,3.3483006358146667,"Tanner Scott",17586,656945
"Reid Detmers","LAA",7,16,0,40,40,211.2,10.119685525713848,3.6992127762063225,1.2330709254021075,0.322463768115942,0.68181818,0.379549393,0.122362869,94.36179610148515,4.974803388691262,,4.206730835763068,4.2072576288900265,3.2984110713005066,"Reid Detmers",27468,672282
"Andrew Abbott","CIN",17,12,0,39,39,212.1,8.562009624247878,3.475667273209535,1.3563579602768916,0.26548672566371684,0.82730561,0.310169491,0.10738255,92.87293309059326,3.475667273209535,,4.455566480520447,4.679864649229468,3.1610242128372192,"Andrew Abbott",29911,671096
"Eduardo Rodriguez","DET",13,9,0,26,26,152.2,8.430131566085587,2.829694511693064,0.8842795349040825,0.27427184466019416,0.75949367,0.410071942,0.096774193,92.29422743055555,3.301310263641908,,3.6611539236752417,4.062482696239407,3.00055193901062,"Eduardo Rodriguez",13164,593958
"Nestor Cortes","NYY",9,9,0,31,31,174.1,8.931166413135173,2.06500957529137,1.3422562239393903,0.284796573875803,0.74582339,0.286885245,0.102362204,91.81126600555157,3.9751434324358867,,3.9273490838097067,4.223906661209076,2.9671534299850464,"Nestor Cortes",17874,641482
"Andrew Heaney","TEX",13,15,0,52,45,237.1,9.214888208213626,3.18539345469113,1.327247272787971,0.30153846153846153,0.75800712,0.381791483,0.119863013,92.26508952744068,4.019663169014997,,4.342366718457168,4.3617445733724916,2.804478073492646,"Andrew Heaney",15423,571760
"Sean Manaea","- - -",12,9,1,54,27,207,9.34782677602182,3.521739390036128,0.9130435455649221,0.285451197053407,0.6803005,0.38998211,0.095022624,93.51652173239087,4.000000294855849,,3.8063331411638543,4.1549206466439115,2.503119021654129,"Sean Manaea",15873,640455
"Tyler Anderson","LAA",14,14,0,45,43,253,6.972332042092229,3.948616615674681,1.1383399252395476,0.2696476964769648,0.73567708,0.334207077,0.09039548,89.88097403089778,4.268774719648303,,4.745623701987374,5.301380823450468,2.3871705904603004,"Tyler Anderson",12880,542881
"Clayton Kershaw","LAD",13,5,0,24,24,131.2,9.36455660027394,2.7341771095690337,1.298734127045291,0.25,0.89347079,0.475073313,0.168141592,90.86030456216578,2.4607593986121303,,4.029723873874963,3.572727042387137,2.341388702392578,"Clayton Kershaw",2036,477132
"Josh Hader","- - -",5,8,48,100,0,95.1,13.783218070110594,3.870629732017359,1.0384616354192913,0.27419354838709675,0.8388521,0.331606217,0.119565217,,2.454545683718325,,3.040622178508256,3.053742830978406,2.1302059292793274,"Josh Hader",14212,623352
"Steven Matz","STL",5,9,0,31,23,132.2,7.801507799400419,2.9170855249932,0.9497487755791814,0.3283208020050125,0.70934256,0.420537897,0.104477611,,4.341708688361972,,3.960257530641142,4.208023151839549,2.089166708290577,"Steven Matz",13361,571927
"José Alvarado","PHI",1,5,23,80,0,77.1,11.870690435915352,3.6077588579742734,0.6982759079950206,0.2808988764044944,0.70351759,0.486187845,0.111111111,99.05479431152344,2.6767243139809125,,2.826033989292705,2.890624174026256,1.9390885829925537,"Jose Alvarado",17780,621237
"Shota Imanaga","CHC",7,2,0,16,16,91,9.098901098901099,1.4835164835164836,1.1868131868131868,0.2924901185770751,0.75117371,0.34351145,0.095238095,92.16011469414893,3.1648351648351647,,3.386584724174751,3.689564001887709,1.9369800090789795,"Shota Imanaga",33829,684007
"Danny Coulombe","BAL",6,3,3,90,0,77.1,10.00862455701297,1.7456903297115647,0.8146554871987302,0.265625,0.78220859,0.443877551,0.09090909,91.39829651738556,2.676725172224399,,2.8374436715265263,3.2409010669506095,1.856138914823532,"Danny Coulombe",13293,543056
"Shane McClanahan","TBR",11,2,0,21,21,115,9.469565217391304,3.208695652173913,1.173913043478261,0.273972602739726,0.8173913,0.436065573,0.132743362,96.97010157273918,3.2869565217391306,,3.9159099247144615,3.8448555612045787,1.7925292253494263,"Shane McClanahan",21483,663556
"Brandon Williamson","CIN",5,5,0,23,23,117,7.538462030033342,3.0000001956255136,1.384615474904083,0.27844311377245506,0.70189274,0.373563218,0.121621621,92.83613308414465,4.461538752468712,,4.631108825296808,4.722528143947164,1.7849310636520386,"Brandon Williamson",25463,682227
"Andrew Nardi","MIA",9,2,3,105,0,91.2,11.290911753505357,3.1418189227145343,0.8836365720134628,0.3076923076923077,0.75936884,0.400881057,0.098901098,94.47691306089743,3.436364446719022,,3.2001738348516304,3.4772762149187164,1.6710914969444275,"Andrew Nardi",25942,677053
"Sam Moll","- - -",2,4,1,97,1,84,9.64286020823985,3.7500011920932743,0.32142867360799493,0.2777777777777778,0.7367387,0.504629629,0.04054054,93.92587752855356,3.0000009536746197,,3.0894239203268428,4.030214582761836,1.6210298463702202,"Sam Moll",14874,594580
"Jose Quintana","NYM",6,11,0,30,30,165.1,6.858871178746106,3.0483871905538247,0.9798387398208722,0.29116465863453816,0.74826561,0.431372549,0.099447513,90.57713739398223,3.919354959283489,,4.25960602679356,4.537866492412946,1.6078982204198837,"Jose Quintana",11423,500779
"Austin Gomber","COL",11,14,0,44,44,233.2,5.738944427652883,2.5805991721660617,1.6176890332981282,0.29891304347826086,0.71742313,0.416993464,0.143344709,90.72329540984896,5.084165533222689,,5.1793499636416955,4.8166639213369855,1.5820769667625427,"Austin Gomber",16561,596295
"Aroldis Chapman","- - -",7,9,9,99,0,91,15.527474154742121,6.72527543007939,0.791208874126987,0.3151515151515151,0.72390572,0.445086705,0.129032258,98.55242789318831,3.4615388243055683,,3.223365952818332,3.1465257313986075,1.5649773627519608,"Aroldis Chapman",10233,547973
"Hoby Milner","MIL",5,2,1,113,1,104.1,8.453676697141963,1.897764156501257,0.7763580640232415,0.28027681660899656,0.73964497,0.505190311,0.097826086,88.93098764888576,2.932908241865579,,3.154119243817982,3.4303717938768497,1.5546037703752518,"Hoby Milner",13346,571948
"JoJo Romero","STL",7,3,3,69,0,76.2,8.921740758135394,2.1130438637689095,0.586956628824697,0.27722772277227725,0.71052632,0.539215686,0.1,95.30835269976266,3.0521744698884246,,2.9350911681129457,3.0835464161766177,1.5544773638248444,"JoJo Romero",19574,668941
