Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","Tyler O'Neill","BOS",56,118,99,31,14,8,0,9,18,15,18,3,39,0,1,0,4,1,0,0.313131313,15711
"Total","Tyler Wade","SDP",12,14,12,2,2,0,0,0,2,1,1,0,2,0,0,1,0,0,0,0.166666666,15730
"Total","Miguel Andujar","OAK",21,41,38,17,13,3,0,1,8,13,3,0,4,0,0,0,2,0,1,0.447368421,15878
"Total","Luis Torrens","NYM",15,24,21,7,3,2,0,2,5,3,2,0,6,0,1,0,0,0,1,0.333333333,15905
"Total","Aledmys Diaz","2 Tms",5,9,9,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0.111111111,15937
"Total","Willy Adames","MIL",62,112,93,20,12,6,0,2,12,14,18,2,22,0,1,0,2,2,2,0.215053763,15986
"Total","Cody Bellinger","CHC",54,97,93,30,24,3,1,2,12,13,2,0,17,1,1,0,1,1,1,0.322580645,15998
"Total","Austin Slater","2 Tms",42,95,79,14,14,0,0,0,9,8,11,0,25,2,3,0,2,2,1,0.177215189,16153
"Total","J.D. Davis","2 Tms",24,51,46,8,7,1,0,0,2,0,5,0,16,0,0,0,2,0,0,0.173913043,16219
"Total","Trea Turner","PHI",44,99,89,28,17,6,0,5,22,10,8,0,16,2,0,0,1,7,1,0.314606741,16252
"Total","Nick Gordon","MIA",23,27,26,5,2,2,0,1,5,3,1,0,5,0,0,0,1,0,0,0.192307692,16337
"Total","Pablo Reyes","BOS",7,20,20,4,2,2,0,0,0,2,0,0,7,0,0,0,0,0,0,0.2,16357
"Total","Michael Conforto","SFG",40,68,62,18,12,4,0,2,6,7,6,0,19,0,0,0,1,0,1,0.29032258,16376
"Total","Thairo Estrada","SFG",43,92,87,16,10,4,0,2,10,10,4,0,18,0,1,0,2,0,0,0.183908045,16426
"Total","Ryan O'Hearn","BAL",23,28,27,7,6,1,0,0,1,3,1,0,3,0,0,0,0,0,0,0.259259259,16442
"Total","Luis Guillorme","2 Tms",11,13,13,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.076923076,16451
"Total","Rhys Hoskins","MIL",37,72,60,13,7,1,0,5,8,14,9,1,19,1,2,0,2,0,0,0.216666666,16472
"Total","Kyle Schwarber","PHI",67,163,134,46,33,4,0,9,24,28,28,0,43,1,0,0,1,3,1,0.343283582,16478
"Total","Forrest Wall","ATL",2,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,16496
"Total","Matt Chapman","SFG",59,121,104,30,15,11,0,4,19,13,16,2,25,0,1,0,0,4,0,0.288461538,16505
"Total","Isiah Kiner-Falefa","TOR",45,73,66,19,16,1,1,1,9,6,3,0,9,3,0,1,2,0,0,0.287878787,16512
"Total","Mauricio Dubon","HOU",45,88,83,23,14,7,0,2,12,14,3,0,11,0,1,1,1,1,1,0.277108433,16530
"Total","Danny Jansen","2 Tms",30,55,44,12,10,2,0,0,8,3,10,0,10,0,1,0,1,0,0,0.272727272,16535
"Total","Ozzie Albies","ATL",36,98,96,33,21,9,0,3,17,12,1,0,12,1,0,0,2,2,1,0.34375,16556
"Total","Connor Joe","PIT",63,114,100,28,16,9,0,3,12,11,10,1,17,3,1,0,3,0,0,0.28,16572
"Total","Yandy Diaz","TBR",48,102,96,33,21,9,0,3,15,11,5,0,10,0,1,0,2,0,0,0.34375,16578
"Total","Luis Urias","SEA",22,40,34,5,0,2,0,3,6,6,4,0,13,2,0,0,1,0,0,0.147058823,16622
"Total","Jason Vosler","SEA",2,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16686
"Total","Jose Trevino","NYY",38,74,65,14,9,1,0,4,11,11,6,0,13,1,1,1,4,0,0,0.215384615,16725
"Total","Jonah Heim","TEX",43,88,81,18,14,1,0,3,8,10,6,0,12,0,1,0,1,0,1,0.222222222,16930
"Total","Lane Thomas","2 Tms",47,100,86,28,19,5,1,3,12,13,10,0,13,3,1,0,2,11,3,0.325581395,16939
"Total","Derek Hill","2 Tms",16,31,28,8,4,0,1,3,5,6,3,0,8,0,0,0,1,1,1,0.285714285,16947
"Total","Chadwick Tromp","ATL",6,11,11,2,1,1,0,0,1,2,0,0,3,0,0,0,1,0,0,0.181818181,16953
"Total","Gleyber Torres","NYY",55,94,81,18,11,2,0,5,13,8,11,0,24,1,1,0,1,2,2,0.222222222,16997
"Total","Edmundo Sosa","PHI",40,86,77,23,10,8,3,2,14,10,6,0,16,3,0,0,0,1,1,0.298701298,17022
"Total","Alex Verdugo","NYY",65,120,105,22,17,3,0,2,7,7,11,0,24,1,2,1,4,1,1,0.209523809,17027
"Total","Jose Herrera","ARI",6,9,7,2,1,1,0,0,2,1,1,0,2,0,0,1,0,0,0,0.285714285,17040
"Total","Ramon Laureano","2 Tms",30,49,46,11,5,3,0,3,7,8,1,0,18,1,1,0,1,1,1,0.239130434,17128
"Total","Yoan Moncada","CHW",3,4,3,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.333333333,17232
"Total","Jorge Mateo","BAL",39,85,80,20,9,7,1,3,13,6,4,0,21,1,0,0,0,5,0,0.25,17273
"Total","Alex Jackson","TBR",20,45,40,4,2,0,0,2,3,5,4,0,15,0,1,0,1,0,0,0.1,17276
"Total","Cole Tucker","LAA",10,22,20,1,1,0,0,0,1,0,2,0,8,0,0,0,0,1,0,0.05,17326
"Total","Willi Castro","MIN",57,103,98,31,19,8,1,3,15,10,4,0,23,1,0,0,2,2,2,0.31632653,17338
"Total","Rafael Devers","BOS",73,148,134,32,21,5,3,3,17,18,11,0,53,2,1,0,1,0,0,0.23880597,17350
"Total","Jose Siri","TBR",45,89,78,18,8,5,0,5,14,15,7,0,28,0,3,0,0,2,1,0.23076923,17452
"Total","Eloy Jimenez","CHW",26,48,44,13,10,3,0,0,2,1,4,0,7,0,0,0,1,2,0,0.295454545,17484
"Total","Taylor Ward","LAA",40,76,69,23,16,4,0,3,10,8,6,0,15,0,1,0,0,0,1,0.333333333,17548
"Total","Alex Bregman","HOU",62,129,122,26,15,6,1,4,13,18,7,0,11,0,0,0,3,0,0,0.213114754,17678
"Total","Kevin Newman","ARI",47,91,85,24,14,8,1,1,16,11,3,1,8,0,1,2,2,2,0,0.282352941,17696
"Total","DJ Stewart","NYM",13,15,12,0,0,0,0,0,2,0,2,0,6,1,0,0,1,1,0,0,17766
"Total","Jakson Reetz","SFG",4,6,6,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0.166666666,17837
"Total","Willie Calhoun","LAA",19,31,27,5,5,0,0,0,3,1,3,0,2,1,0,0,0,0,0,0.185185185,17838
"Total","Tyler Nevin","OAK",36,80,67,13,6,3,0,4,8,8,8,0,16,4,1,0,1,0,0,0.19402985,17893
"Total","Andrew Benintendi","CHW",34,51,48,5,2,2,0,1,4,3,2,0,13,1,0,0,3,1,0,0.104166666,17901
"Total","Brendan Rodgers","COL",37,83,77,24,16,4,0,4,16,8,6,0,17,0,0,0,0,0,0,0.311688311,17907
"Total","Ian Happ","CHC",50,88,80,19,11,4,0,4,11,18,7,0,22,1,0,0,3,0,0,0.2375,17919
"Total","Cedric Mullins","BAL",42,68,67,10,6,3,1,0,7,0,1,0,15,0,0,0,0,1,1,0.149253731,17929
"Total","Sam Hilliard","COL",7,10,7,1,1,0,0,0,0,2,0,0,4,0,2,1,0,0,0,0.142857142,17954
"Total","Ty France","SEA",44,89,75,18,12,3,0,3,11,8,11,0,20,3,0,0,1,0,1,0.24,17982
