date,game_id,half,pitcher,batting_team,pitching_team,model_prob,implied_prob,ev,dk_no_odds,result,ev_category
2026-04-07,STL/WSH - Bot 1,bot,Matthew Liberatore,Washington Nationals,St. Louis Cardinals,0.3052,0.3509,-0.0457,185,loss,negative
2026-04-07,MIL/BOS - Top 1,top,Garrett Crochet,Milwaukee Brewers,Boston Red Sox,0.2694,0.2564,0.013,290,loss,marginal
2026-04-07,MIL/BOS - Bot 1,bot,Jacob Misiorowski,Boston Red Sox,Milwaukee Brewers,0.1894,0.2,-0.0106,400,loss,negative
2026-04-07,ATH/NYY - Top 1,top,Cam Schlittler,Athletics,New York Yankees,0.2694,0.2273,0.0421,340,loss,marginal
2026-04-07,LAD/TOR - Top 1,top,Kevin Gausman,Los Angeles Dodgers,Toronto Blue Jays,0.3227,0.2564,0.0663,290,win,strong
2026-04-07,LAD/TOR - Bot 1,bot,Yoshinobu Yamamoto,Toronto Blue Jays,Los Angeles Dodgers,0.2716,0.3279,-0.0563,205,loss,negative
2026-04-07,DET/MIN - Top 1,top,Taj Bradley,Detroit Tigers,Minnesota Twins,0.3279,0.303,0.0249,230,loss,marginal
2026-04-07,DET/MIN - Bot 1,bot,Tarik Skubal,Minnesota Twins,Detroit Tigers,0.2624,0.2532,0.0092,295,loss,marginal
2026-04-07,SEA/TEX - Top 1,top,Nathan Eovaldi,Seattle Mariners,Texas Rangers,0.3256,0.2632,0.0624,280,loss,strong
2026-04-07,SEA/TEX - Bot 1,bot,George Kirby,Texas Rangers,Seattle Mariners,0.2805,0.2564,0.0241,290,loss,marginal
2026-04-07,HOU/COL - Top 1,top,Kyle Freeland,Houston Astros,Colorado Rockies,0.4086,0.4762,-0.0676,110,loss,negative
2026-04-07,HOU/COL - Bot 1,bot,Mike Burrows,Colorado Rockies,Houston Astros,0.2918,0.2857,0.0061,250,loss,marginal
2026-04-07,ATL/LAA - Top 1,top,Yusei Kikuchi,Atlanta Braves,Los Angeles Angels,0.2974,0.3922,-0.0948,155,loss,negative
2026-04-07,ATL/LAA - Bot 1,bot,Reynaldo López,Los Angeles Angels,Atlanta Braves,0.438,0.3077,0.1303,225,loss,strong
2026-04-07,PHI/SF - Top 1,top,Robbie Ray,Philadelphia Phillies,San Francisco Giants,,0.2899,,245,loss,
2026-04-07,PHI/SF - Bot 1,bot,Cristopher Sánchez,San Francisco Giants,Philadelphia Phillies,,0.3279,,205,loss,
2026-04-08,CHC/TB - Top 1,top,Joe Boyle,Chicago Cubs,Tampa Bay Rays,0.3393,0.3509,-0.0116,185,loss,negative
2026-04-08,CIN/MIA - Top 1,top,Eury Pérez,Cincinnati Reds,Miami Marlins,0.2558,0.2273,0.0285,340,loss,marginal
2026-04-08,CIN/MIA - Bot 1,bot,Brady Singer,Miami Marlins,Cincinnati Reds,0.3532,0.3774,-0.0242,165,win,negative
2026-04-08,ATH/NYY - Top 1,top,Will Warren,Athletics,New York Yankees,0.2893,0.3279,-0.0386,205,loss,negative
2026-04-08,DET/MIN - Top 1,top,Bailey Ober,Detroit Tigers,Minnesota Twins,0.3621,0.3774,-0.0153,165,win,negative
2026-04-08,DET/MIN - Bot 1,bot,Framber Valdez,Minnesota Twins,Detroit Tigers,0.3382,0.3774,-0.0392,165,win,negative
2026-04-09,CIN/MIA - Bot 1,bot,Rhett Lowder,Miami Marlins,Cincinnati Reds,0.3638,0.2174,0.1464,360,win,strong
2026-04-09,CIN/MIA - Top 1,top,Max Meyer,Cincinnati Reds,Miami Marlins,0.2697,0.4348,-0.1651,130,loss,negative
2026-04-09,ATH/NYY - Top 1,top,Ryan Weathers,Athletics,New York Yankees,0.3172,0.3448,-0.0276,190,loss,negative
2026-04-09,DET/MIN - Top 1,top,Mick Abel,Detroit Tigers,Minnesota Twins,0.2849,0.4082,-0.1233,145,loss,negative
2026-04-09,DET/MIN - Bot 1,bot,Jack Flaherty,Minnesota Twins,Detroit Tigers,0.2566,0.4255,-0.1689,135,win,negative
2026-04-09,ARI/NYM - Top 1,top,Nolan McLean,Arizona Diamondbacks,New York Mets,0.2895,0.3774,-0.0879,165,win,negative
2026-04-09,ARI/NYM - Bot 1,bot,Eduardo Rodriguez,New York Mets,Arizona Diamondbacks,0.3579,0.4348,-0.0769,130,win,negative
2026-04-09,CWS/KC - Top 1,top,Seth Lugo,Chicago White Sox,Kansas City Royals,0.3575,0.4082,-0.0507,145,win,negative
2026-04-09,CWS/KC - Bot 1,bot,Anthony Kay,Kansas City Royals,Chicago White Sox,0.3291,0.5122,-0.1831,-105,loss,negative
2026-04-09,COL/SD - Top 1,top,Randy Vásquez,Colorado Rockies,San Diego Padres,,0.3846,,160,loss,
2026-04-09,COL/SD - Bot 1,bot,Jimmy Herget,San Diego Padres,Colorado Rockies,,0.3175,,215,win,
2026-04-10,PIT/CHC - Top 1,top,Shota Imanaga,Pittsburgh Pirates,Chicago Cubs,0.3429,0.25,0.0929,300,win,strong
2026-04-10,PIT/CHC - Bot 1,bot,Carmen Mlodzinski,Chicago Cubs,Pittsburgh Pirates,0.3782,0.3922,-0.014,155,loss,negative
2026-04-10,ARI/PHI - Top 1,top,Jesús Luzardo,Arizona Diamondbacks,Philadelphia Phillies,0.3587,0.3226,0.0361,210,loss,marginal
2026-04-10,ARI/PHI - Bot 1,bot,Michael Soroka,Philadelphia Phillies,Arizona Diamondbacks,0.2998,0.2857,0.0141,250,loss,marginal
2026-04-10,MIA/DET - Top 1,top,Keider Montero,Miami Marlins,Detroit Tigers,0.4208,0.4255,-0.0047,135,loss,negative
2026-04-10,MIA/DET - Bot 1,bot,Chris Paddack,Detroit Tigers,Miami Marlins,0.3804,0.4444,-0.064,125,win,negative
2026-04-10,LAA/CIN - Top 1,top,Chase Burns,Los Angeles Angels,Cincinnati Reds,0.1929,0.2128,-0.0199,370,loss,negative
2026-04-10,LAA/CIN - Bot 1,bot,Jack Kochanowicz,Cincinnati Reds,Los Angeles Angels,0.3574,0.3509,0.0065,185,win,marginal
2026-04-10,MIN/TOR - Top 1,top,Patrick Corbin,Minnesota Twins,Toronto Blue Jays,0.3811,0.4167,-0.0356,140,loss,negative
2026-04-10,MIN/TOR - Bot 1,bot,Simeon Woods Richardson,Toronto Blue Jays,Minnesota Twins,0.3147,0.4082,-0.0935,145,loss,negative
2026-04-10,ATH/NYM - Top 1,top,Clay Holmes,Athletics,New York Mets,0.3461,0.3509,-0.0048,185,win,negative
2026-04-10,NYY/TB - Top 1,top,Steven Matz,New York Yankees,Tampa Bay Rays,0.3706,0.4082,-0.0376,145,loss,negative
2026-04-10,NYY/TB - Bot 1,bot,Luis Gil,Tampa Bay Rays,New York Yankees,0.3995,0.4082,-0.0087,145,loss,negative
2026-04-10,SF/BAL - Top 1,top,Shane Baz,San Francisco Giants,Baltimore Orioles,0.3138,0.3279,-0.0141,205,win,negative
2026-04-10,SF/BAL - Bot 1,bot,Landen Roupp,Baltimore Orioles,San Francisco Giants,0.3176,0.3774,-0.0598,165,loss,negative
2026-04-10,CLE/ATL - Top 1,top,Bryce Elder,Cleveland Guardians,Atlanta Braves,0.378,0.4082,-0.0302,145,loss,negative
2026-04-10,CLE/ATL - Bot 1,bot,Slade Cecconi,Atlanta Braves,Cleveland Guardians,0.3237,0.3448,-0.0211,190,loss,negative
2026-04-10,CWS/KC - Top 1,top,Kris Bubic,Chicago White Sox,Kansas City Royals,0.3379,0.3704,-0.0325,170,loss,negative
2026-04-10,CWS/KC - Bot 1,bot,Davis Martin,Kansas City Royals,Chicago White Sox,0.4339,0.5,-0.0661,100,win,negative
2026-04-10,WSH/MIL - Top 1,top,Aaron Ashby,Washington Nationals,Milwaukee Brewers,0.2506,0.274,-0.0234,265,loss,negative
2026-04-10,BOS/STL - Top 1,top,Dustin May,Boston Red Sox,St. Louis Cardinals,0.3623,0.4167,-0.0544,140,loss,negative
2026-04-10,BOS/STL - Bot 1,bot,Connelly Early,St. Louis Cardinals,Boston Red Sox,0.177,0.3226,-0.1456,210,loss,negative
2026-04-10,COL/SD - Top 1,top,Walker Buehler,Colorado Rockies,San Diego Padres,0.3675,0.4444,-0.0769,125,loss,negative
2026-04-10,COL/SD - Bot 1,bot,Tomoyuki Sugano,San Diego Padres,Colorado Rockies,0.3771,0.4348,-0.0577,130,loss,negative
2026-04-10,HOU/SEA - Top 1,top,Emerson Hancock,Houston Astros,Seattle Mariners,,0.4348,,130,win,
2026-04-10,HOU/SEA - Bot 1,bot,Tatsuya Imai,Seattle Mariners,Houston Astros,,0.2597,,285,loss,
2026-04-11,ARI/PHI - Top 1,top,Taijuan Walker,Arizona Diamondbacks,Philadelphia Phillies,0.3832,0.4082,-0.025,145,loss,negative
2026-04-11,ARI/PHI - Bot 1,bot,Brandon Pfaadt,Philadelphia Phillies,Arizona Diamondbacks,0.3531,0.3571,-0.004,180,loss,negative
2026-04-11,MIA/DET - Top 1,top,Casey Mize,Miami Marlins,Detroit Tigers,0.3734,0.2326,0.1408,330,loss,strong
2026-04-11,MIA/DET - Bot 1,bot,Janson Junk,Detroit Tigers,Miami Marlins,0.3746,0.3704,0.0042,170,win,marginal
2026-04-11,NYY/TB - Top 1,top,Nick Martinez,New York Yankees,Tampa Bay Rays,0.3541,0.4444,-0.0903,125,loss,negative
2026-04-11,NYY/TB - Bot 1,bot,Max Fried,Tampa Bay Rays,New York Yankees,0.311,0.3509,-0.0399,185,loss,negative
