Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","Martin Maldonado","2 Tms",153,403,362,61,39,10,0,12,28,33,25,0,137,4,0,12,10,0,0,0.168508287,6887
"Total","Salvador Perez","KCR",234,763,705,187,123,30,0,34,79,123,32,5,165,14,10,0,20,0,0,0.265248226,7304
"Total","Travis d'Arnaud","ATL",132,400,366,83,48,21,0,14,41,53,25,0,88,6,3,0,8,1,0,0.226775956,7739
"Total","Miguel Rojas","LAD",149,399,364,84,60,21,0,3,43,29,24,0,49,4,4,3,9,7,4,0.23076923,7802
"Total","Charlie Blackmon","COL",171,553,492,129,80,31,6,12,80,60,47,2,94,11,3,0,5,6,0,0.262195121,7859
"Total","Matt Carpenter","2 Tms",112,318,263,52,29,16,0,7,26,34,46,0,95,3,5,0,2,1,1,0.197718631,8090
"Total","Josh Harrison","PHI",28,54,48,11,7,2,0,2,5,7,3,0,5,2,1,0,1,0,0,0.229166666,8202
"Total","Ehire Adrianza","2 Tms",12,28,25,3,2,0,0,1,4,1,3,0,11,0,0,0,0,0,0,0.12,8418
"Total","Donovan Solano","2 Tms",151,409,358,102,75,22,1,4,48,36,33,1,91,16,2,0,11,1,1,0.284916201,8623
"Total","Elvis Andrus","CHW",100,293,275,69,47,16,1,5,29,32,13,0,51,4,1,0,11,8,3,0.25090909,8709
