Name,Team,MLBAMID
Ryan Weathers,Miami Marlins,677960
Joey Wentz,Pittsburgh Pirates,666214
Jordan Wicks,Chicago Cubs,696136
Brandon Williamson,Cincinnati Reds,682227
Justin Wilson,Cincinnati Reds,458677
Alex Wood,Oakland Athletics,622072
Justin Wrobleski,Los Angeles Dodgers,680736
Ryan Yarbrough,Toronto Blue Jays,642232
Alex Young,New York Mets,622065
Danny Young,New York Mets,664849
Rob Zastryzny,Milwaukee Brewers,642239
Angel Zerpa,Kansas City Royals,672582
