Name,Team,MLBAMID
Alex Carrillo,New York Mets,692024
Ben Casparius,Los Angeles Dodgers,676508
Blas Castaño,Seattle Mariners,680604
Luis Castillo,Seattle Mariners,622491
Luis F. Castillo,Seattle Mariners,622379
Miguel Castro,Chicago White Sox,612434
Cade Cavalli,Washington Nationals,676917
Dylan Cease,San Diego Padres,656302
Slade Cecconi,Cleveland Guardians,677944
Bubba Chandler,Pittsburgh Pirates,696149
Jesse Chavez,Atlanta Braves,445926
Angel Chivilli,Colorado Rockies,683409
Marc Church,Texas Rangers,687847
Aaron Civale,Chicago Cubs,650644
Taylor Clarke,Kansas City Royals,664199
Emmanuel Clase,Cleveland Guardians,661403
Mike Clevinger,Chicago White Sox,605182
Luis Contreras,Houston Astros,664351
Roansy Contreras,Colorado Rockies,672710
Jose Corniell,Texas Rangers,692030
Nabil Crismatt,Arizona Diamondbacks,622503
Cooper Criswell,Boston Red Sox,681867
Fernando Cruz,New York Yankees,518585
Steven Cruz,Kansas City Royals,674444
Xzavion Curry,Miami Marlins,675540
John Curtiss,Arizona Diamondbacks,595928
Luis Curvelo,Texas Rangers,681168
Caden Dana,Los Angeles Angels,702674
Davis Daniel,Atlanta Braves,669721
Dugan Darnell,Colorado Rockies,699911
Michael Darrell-Hicks,Pittsburgh Pirates,690382
Yu Darvish,San Diego Padres,506433
Noah Davis,Minnesota Twins,663562
Brett de Geus,Philadelphia Phillies,676969
Jacob deGrom,Texas Rangers,594798
José De León,Boston Red Sox,592254
Enyel De Los Santos,Houston Astros,660853
Yerry De los Santos,New York Yankees,660787
Anthony DeSclafani,Arizona Diamondbacks,543101
Chris Devenski,New York Mets,606965
Alexis Díaz,Atlanta Braves,664747
Edwin Díaz,New York Mets,621242
Yilber Díaz,Arizona Diamondbacks,700270
Hunter Dobbins,Boston Red Sox,690928
Randy Dobnak,Minnesota Twins,677976
Chase Dollander,Colorado Rockies,801403
Seranthony Domínguez,Toronto Blue Jays,622554
Camilo Doval,New York Yankees,666808
Shawn Dubin,Baltimore Orioles,681869
Dane Dunning,Atlanta Braves,641540
Carlos Duran,Athletics,679922
Jhoan Duran,Philadelphia Phillies,661395
Carl Edwards Jr.,Texas Rangers,605218
Scott Effross,New York Yankees,664123
Zach Eflin,Baltimore Orioles,621107
Bryce Elder,Atlanta Braves,693821
Mason Englert,Tampa Bay Rays,669438
Nic Enright,Cleveland Guardians,663671
Nathan Eovaldi,Texas Rangers,543135
Lucas Erceg,Kansas City Royals,668674
Jose Espada,Baltimore Orioles,664744
Joey Estes,Athletics,683155
Carlos Estévez,Kansas City Royals,608032
Jeremiah Estrada,San Diego Padres,669093
Lazaro Estrada,Toronto Blue Jays,681751
Logan Evans,Seattle Mariners,688138
Pete Fairbanks,Tampa Bay Rays,664126
Calvin Faucher,Miami Marlins,676534
Erick Fedde,Milwaukee Brewers,607200
Ryan Feltner,Colorado Rockies,663372
Tyler Ferguson,Athletics,621053
José Fermin,Los Angeles Angels,820862
Julian Fernández,Washington Nationals,642759
Ryan Fernandez,St. Louis Cardinals,681676
David Festa,Minnesota Twins,701581
Matt Festa,Cleveland Guardians,670036
J.P. Feyereisen,Los Angeles Dodgers,656420
Kyle Finnegan,Detroit Tigers,640448
Braydon Fisher,Toronto Blue Jays,680755
Richard Fitts,Boston Red Sox,690916
Jack Flaherty,Detroit Tigers,656427
Chris Flexen,Chicago Cubs,623167
J.P. France,Houston Astros,641585
Bowden Francis,Toronto Blue Jays,670102
Caleb Freeman,Chicago White Sox,673965
Didier Fuentes,Atlanta Braves,800311
Carson Fulmer,Los Angeles Angels,608334
Michael Fulmer,Chicago Cubs,605242
Hunter Gaddis,Cleveland Guardians,683769
Zac Gallen,Arizona Diamondbacks,668678
Gerson Garabito,Texas Rangers,642520
Rico Garcia,Baltimore Orioles,670329
Luis García,Los Angeles Angels,472610
Luis Garcia,Houston Astros,677651
Yimi García,Toronto Blue Jays,554340
Reed Garrett,New York Mets,657585
Justin Garza,New York Mets,621057
Kevin Gausman,Toronto Blue Jays,592332
Joey Gerber,Tampa Bay Rays,680702
Paul Gervase,Los Angeles Dodgers,801434
Ian Gibaut,Cincinnati Reds,664139
Kyle Gibson,Baltimore Orioles,502043
Luis Gil,New York Yankees,661563
Logan Gilbert,Seattle Mariners,669302
Logan Gillaspie,San Diego Padres,670810
Connor Gillispie,Miami Marlins,687362
Kevin Ginkel,Arizona Diamondbacks,656464
J.T. Ginn,Athletics,669372
Lucas Giolito,Boston Red Sox,608337
Sawyer Gipson-Long,Detroit Tigers,687830
Tyler Glasnow,Los Angeles Dodgers,607192
Yoendrys Gómez,Chicago White Sox,672782
Tony Gonsolin,Los Angeles Dodgers,664062
Wikelman González,Chicago White Sox,682790
Tanner Gordon,Colorado Rockies,685299
Gordon Graceffo,St. Louis Cardinals,700669
