Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
Total,Patrick Corbin,TEX,30,167,0.00,35,7,0,0,0,5,16,0,0,35,.235,.305,.383,,571578
Total,Hurston Waldrep,ATL,10,127,0.00,28,6,0,0,0,2,13,1,1,32,.248,.331,.354,,694462
Total,Angel Perdomo,OAK,4,6,0.00,1,0,0,0,0,0,2,0,1,0,.333,.667,.333,,622780
Total,Cade Smith,CLE,68,142,0.00,21,9,1,0,0,3,9,2,0,57,.159,.211,.311,,671922
Total,Reed Garrett,NYM,53,107,0.00,21,3,0,0,0,2,19,2,0,25,.239,.374,.341,,657585
Total,Abraham Toro,BOS,1,5,0.00,3,1,0,0,0,0,1,0,0,0,.750,.800,1.000,,647351
Total,Michael Darrell-Hicks,PIT,6,14,0.00,2,0,0,0,0,1,0,0,0,6,.143,.143,.357,,690382
Total,Tim Hill,NYY,68,134,0.00,23,2,0,0,0,1,7,1,0,27,.181,.224,.220,,657612
Total,Chad Patrick,MIL,26,237,0.00,56,15,0,0,0,3,22,0,3,56,.267,.343,.381,,694477
Total,Edward Cabrera,MIA,26,308,0.00,62,12,0,0,0,10,34,0,7,75,.234,.336,.392,,665795
Total,Jesus Tinoco,MIA,18,35,0.00,4,1,0,0,0,1,6,1,0,4,.138,.286,.276,,622786
Total,Justin Verlander,SFG,29,320,0.00,74,18,0,0,0,7,31,1,2,68,.262,.336,.401,,434378
Total,Bryan Hoeing,SDP,7,15,0.00,2,0,0,0,0,0,1,0,0,2,.143,.200,.143,,663773
Total,Jason Adam,SDP,63,130,0.00,18,2,0,0,0,3,15,2,2,34,.164,.273,.264,,592094
Total,Caden Dana,LAA,7,66,0.00,12,2,0,0,0,4,10,0,0,20,.231,.338,.500,,702674
Total,Codi Heuer,DET,3,11,0.00,3,0,0,0,0,2,1,0,0,2,.300,.364,.900,,676051
Total,Jon Berti,CHC,4,9,0.00,1,0,0,0,0,0,3,0,0,0,.167,.444,.167,,542932
Total,Chase Shugart,PIT,28,65,0.00,12,1,2,0,0,2,10,2,0,6,.222,.338,.426,,663767
Total,Jake Woodford,ARI,19,57,0.00,13,3,1,0,0,1,8,1,0,5,.271,.368,.438,,663765
Total,George Kirby,SEA,23,284,0.00,68,11,0,0,0,9,20,0,3,73,.264,.320,.411,,669923
Total,Jason Alexander,HOU,18,178,0.00,43,9,2,0,0,9,16,0,0,32,.267,.331,.516,,669920
Total,Jacob Amaya,CWS,1,1,0.00,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,,676070
Total,Jesse Scholtens,TBR,2,13,0.00,3,0,0,0,0,0,1,0,0,4,.250,.308,.250,,669947
Total,Jackson Kowar,SEA,15,43,0.00,8,2,0,0,0,2,3,0,1,9,.205,.279,.410,,663804
Total,Collin Snider,SEA,20,53,0.00,18,8,1,0,0,2,2,1,2,11,.375,.415,.708,,676092
Total,Gordon Graceffo,STL,26,82,0.00,20,7,2,0,0,0,4,0,0,18,.263,.293,.408,,700669
Total,Janson Junk,MIA,21,235,0.00,64,16,1,0,0,6,10,0,3,36,.294,.328,.459,,676083
Total,Justin Hagenman,NYM,9,49,0.00,16,3,0,0,0,3,0,0,0,8,.327,.327,.571,,663795
Total,Scott Alexander,SFG,18,39,0.00,12,5,0,0,0,2,4,0,0,5,.343,.410,.657,,518397
Total,Jared Koenig,MIL,61,107,0.00,21,5,1,0,0,0,5,0,2,28,.214,.264,.286,,657649
Total,Emerson Hancock,SEA,22,204,0.00,47,5,0,0,0,12,23,0,1,36,.264,.350,.494,,676106
Total,Kyle Farmer,COL,1,2,0.00,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,,571657
Total,Chad Green,TOR,40,75,0.00,17,4,0,0,0,6,4,0,2,18,.246,.307,.565,,643338
Total,Mason Montgomery,TBR,44,80,0.00,14,5,0,0,0,1,11,0,0,24,.206,.313,.324,,682254
Total,Javier Assad,CHC,8,62,0.00,17,3,3,0,0,2,3,0,1,11,.293,.339,.552,,665871
Total,Bryce Miller,SEA,18,171,0.00,39,9,1,0,0,10,18,0,0,30,.258,.333,.530,,682243
Total,AJ Blubaugh,HOU,11,59,0.00,7,2,0,0,0,3,5,0,0,19,.132,.203,.340,,805123
Total,Cam Booser,CWS,33,62,0.00,10,2,0,0,0,2,9,0,0,18,.196,.306,.353,,592155
Total,Tommy Henry,ARI,2,8,0.00,2,0,0,0,0,1,0,0,0,2,.250,.250,.625,,674072
Total,Kyle Gibson,BAL,4,35,0.00,17,4,0,0,0,4,4,0,0,2,.567,.600,1.100,,502043
Total,Tyler Alexander,CWS,50,179,0.00,47,9,1,0,0,5,6,0,1,34,.278,.305,.432,,641302
Total,Jordan Hicks,BOS,32,143,0.00,37,8,1,0,0,2,17,1,7,24,.311,.427,.445,,663855
Total,Casey Lawrence,SEA,6,33,0.00,10,1,0,0,0,1,0,0,0,3,.313,.303,.438,,596271
Total,José Buttó,SFG,52,124,0.00,26,4,1,0,0,2,19,2,0,24,.257,.366,.376,,676130
