Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
Total,Victor Mesa Jr.,MIA,5,12,10,3,2,0,0,1,0,3,1,0,1,0,0,1,0,0,0,.300,683748
Total,Ryan Ritter,COL,24,44,40,12,9,3,0,0,0,5,1,0,9,1,1,1,1,0,0,.300,690022
Total,Chandler Simpson,TBR,68,113,107,32,32,0,0,0,0,6,5,0,9,0,0,0,3,0,0,.299,802415
Total,Drake Baldwin,ATL,66,95,87,26,20,2,0,4,0,17,7,0,15,1,0,0,1,0,0,.299,686948
Total,Luken Baker,STL,15,34,27,8,5,3,0,0,0,2,7,0,9,0,0,0,2,0,0,.296,663609
Total,Zach McKinstry,DET,74,119,108,32,18,6,7,1,0,15,7,0,26,2,2,0,2,0,0,.296,656716
Total,Lourdes Gurriel Jr.,ARI,71,156,142,42,33,4,0,5,0,21,13,0,12,0,1,0,2,0,0,.296,666971
Total,Alec Bohm,PHI,63,134,122,36,23,9,0,4,0,17,10,0,20,1,1,0,5,0,0,.295,664761
Total,Miguel Rojas,LAD,72,135,122,36,21,9,0,6,0,16,13,1,17,0,0,0,3,0,0,.295,500743
Total,Nolan Arenado,STL,52,112,102,30,23,5,0,2,0,11,8,3,7,0,2,0,2,0,0,.294,571448
Total,Sam Huff,SFG,8,18,17,5,4,0,0,1,0,2,1,0,8,0,0,0,1,0,0,.294,669087
Total,Miles Mastrobuoni,SEA,15,19,17,5,2,3,0,0,0,1,1,0,4,0,0,1,0,0,0,.294,670156
Total,Keibert Ruiz,WSN,33,54,51,15,12,2,0,1,0,8,2,0,4,1,0,0,0,0,0,.294,660688
Total,Brent Rooker,OAK,81,161,140,41,22,14,0,5,0,15,21,4,26,0,0,0,1,0,0,.293,667670
Total,Mauricio Dubón,HOU,58,115,106,31,21,9,0,1,0,7,7,0,11,1,0,1,4,0,0,.292,643289
Total,Xander Bogaerts,SDP,81,171,154,45,30,12,0,3,0,18,14,3,26,0,3,0,6,0,0,.292,593428
Total,Jordan Beck,COL,62,137,127,37,23,8,1,5,0,14,9,0,42,1,0,0,1,0,0,.291,687597
Total,Tyler Freeman,COL,54,119,110,32,24,7,0,1,0,10,6,0,14,1,1,1,4,0,0,.291,671289
Total,Matt Vierling,DET,21,43,38,11,9,1,0,1,0,6,3,0,11,1,1,0,1,0,0,.289,663837
Total,Joey Ortiz,MIL,78,143,135,39,27,9,1,2,0,10,4,0,20,2,0,2,2,0,0,.289,687401
Total,Victor Robles,SEA,22,48,45,13,12,1,0,0,0,5,2,0,8,0,1,0,2,0,0,.289,645302
Total,Jahmai Jones,DET,61,122,104,30,14,9,0,7,0,17,15,1,28,3,0,0,3,0,0,.288,663330
Total,Josh Naylor,SEA,93,192,181,52,38,7,1,6,0,29,9,0,34,1,1,0,7,0,0,.287,647304
Total,Dansby Swanson,CHC,73,138,129,37,25,4,1,7,0,15,9,1,40,0,0,0,1,0,0,.287,621020
Total,Austin Barnes,LAD,4,7,7,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.286,605131
Total,Alex Call,LAD,60,119,105,30,21,5,0,4,0,15,8,0,22,0,3,3,1,0,0,.286,669743
