Name,playerId,Season,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA
Gabe Speier,642100,Total,SEA,28,52,0.00,7,1,0,0,0,1,7,0,1,19,.167,.294,.262,
Cole Sulser,642121,Total,TBR,9,35,0.00,2,0,0,0,0,1,4,1,0,9,.067,.171,.167,
Lucas Gilbreath,656458,Total,COL,3,7,0.00,4,1,0,0,0,0,1,0,1,0,.800,.857,1.000,
Christian Scott,681035,Total,NYM,9,97,0.00,30,6,0,0,0,5,5,0,1,17,.333,.375,.567,
Tyler Gilbert,656457,Total,PHI,5,13,0.00,4,0,0,0,0,0,0,0,0,1,.308,.308,.308,
Beau Brieske,689225,Total,DET,46,144,0.00,26,3,3,0,0,2,19,2,0,35,.210,.313,.331,
Kyle Nicolas,693312,Total,PIT,42,97,0.00,15,4,0,0,0,2,15,1,4,19,.195,.351,.325,
Brandon Eisert,685126,Total,TOR,3,11,0.00,2,0,0,0,0,0,1,0,0,1,.200,.273,.200,
Chris Sale,519242,Total,ATL,23,111,0.00,20,4,1,0,0,2,5,0,1,40,.192,.236,.308,
Blake Treinen,595014,Total,LAD,46,82,0.00,17,7,0,0,0,3,2,0,2,32,.218,.256,.423,
Logan Gillaspie,670810,Total,SDP,8,22,0.00,7,2,0,0,0,1,0,0,0,3,.318,.318,.545,
Prelander Berroa,672860,Total,CWS,16,38,0.00,5,1,0,0,0,0,6,1,1,12,.161,.316,.194,
Joan Adon,672851,Total,WSN,6,21,0.00,7,1,0,0,0,0,2,0,0,0,.412,.450,.471,
Kevin Ginkel,656464,Total,ARI,64,125,0.00,30,6,1,0,0,3,8,0,0,38,.259,.304,.405,
Rowdy Tellez,642133,Total,PIT,3,7,0.00,3,0,0,0,0,0,1,0,0,0,.500,.571,.500,
Ky Bush,681066,Total,CWS,3,22,0.00,7,2,0,0,0,0,3,0,0,1,.368,.455,.474,
Adrian Houser,605288,Total,NYM,23,155,0.00,37,12,0,0,0,5,18,0,2,19,.274,.368,.474,
Brett de Geus,676969,Total,TOR,12,23,0.00,5,0,1,0,0,0,3,0,2,6,.278,.435,.389,
Max Meyer,676974,Total,MIA,11,125,0.00,30,10,1,0,0,7,12,0,0,24,.268,.336,.563,
Ben Brown,676962,Total,CHC,14,118,0.00,24,4,0,0,0,3,13,0,1,33,.233,.322,.359,
Clay Holmes,605280,Total,NYY,60,135,0.00,31,3,0,0,0,2,12,1,1,25,.258,.328,.333,
Yerry Rodríguez,666720,Total,TOR,13,51,0.00,12,2,0,0,0,4,7,1,0,8,.286,.373,.619,
Jhonathan Díaz,646242,Total,SEA,5,19,0.00,5,2,1,0,0,0,0,0,0,5,.263,.263,.474,
Caleb Boushley,676961,Total,MIN,2,8,0.00,5,2,0,0,0,0,1,0,0,1,.714,.750,1.000,
Will Warren,701542,Total,NYY,6,53,0.00,15,4,0,0,0,2,8,0,0,9,.349,.442,.581,
Enoli Paredes,660600,Total,CHC,17,41,0.00,7,3,0,0,0,0,4,0,0,8,.189,.268,.270,
Jhony Brito,666745,Total,SDP,25,82,0.00,14,2,1,0,0,3,6,1,0,18,.187,.247,.360,
Dylan Dodd,689266,Total,ATL,1,1,0.00,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,
Garrett Crochet,676979,Total,CWS,23,101,0.00,23,2,2,0,0,1,8,0,0,42,.247,.307,.344,
Will Smith,519293,Total,KCR,40,72,0.00,16,4,0,0,0,2,2,0,1,16,.235,.264,.382,
Michael Tonkin,543859,Total,MIN,52,123,0.00,26,7,0,0,0,3,13,1,0,26,.243,.317,.393,
David Festa,701581,Total,MIN,14,134,0.00,28,5,2,0,0,4,13,0,1,38,.233,.313,.408,
Andrew Knizner,668800,Total,TEX,2,3,0.00,0,0,0,0,0,0,1,0,0,0,.000,.333,.000,
Sean Guenther,674944,Total,DET,16,34,0.00,4,0,1,0,0,0,0,0,2,5,.125,.176,.188,
Aroldis Chapman,547973,Total,PIT,51,74,0.00,12,0,0,0,0,1,14,0,2,21,.211,.378,.263,
Devin Williams,642207,Total,MIL,21,42,0.00,4,0,0,0,0,1,6,1,1,15,.114,.262,.200,
Josh Walker,677020,Total,NYM,8,23,0.00,5,0,1,0,0,1,2,0,0,4,.238,.304,.476,
Austin Adams,613534,Total,OAK,43,73,0.00,13,6,0,0,0,4,9,2,7,18,.236,.403,.564,
Joey Estes,683155,Total,OAK,25,252,0.00,55,15,1,0,0,11,18,1,2,41,.239,.298,.457,
Hunter Strickland,519326,Total,LAA,60,106,0.00,19,4,0,0,0,3,14,0,1,17,.211,.324,.356,
Sam Hentges,656529,Total,CLE,21,30,0.00,7,3,0,0,0,1,1,0,0,11,.250,.276,.464,
Guillo Zuñiga,670871,Total,LAA,14,35,0.00,8,0,1,0,0,4,5,2,0,4,.267,.371,.733,
Brandon Leibrandt,605335,Total,CIN,2,10,0.00,5,0,0,0,0,2,1,0,0,1,.556,.600,1.222,
Allan Winans,642216,Total,ATL,2,21,0.00,8,2,0,0,0,3,1,0,0,2,.400,.429,.950,
Alexis Díaz,664747,Total,CIN,56,114,0.00,18,4,0,0,0,4,21,1,2,27,.200,.360,.378,
Tanner Houck,656557,Total,BOS,30,396,0.00,76,15,0,0,0,5,30,1,8,72,.215,.289,.300,
Jeff Hoffman,656546,Total,PHI,59,112,0.00,24,6,2,0,0,4,5,1,1,40,.229,.268,.438,
Jorge López,605347,Total,CHC,46,87,0.00,20,4,0,0,0,5,7,1,1,24,.253,.322,.494,
Grant Holmes,656550,Total,ATL,25,127,0.00,32,7,0,0,0,0,6,0,2,28,.271,.315,.331,
Weston Wilson,642215,Total,PHI,1,2,0.00,1,0,0,0,0,0,0,0,0,0,.500,.500,.500,
Vidal Bruján,660644,Total,MIA,2,11,0.00,4,0,0,0,0,1,3,0,1,0,.571,.727,1.000,
Ryan Yarbrough,642232,Total,TOR,44,145,0.00,16,0,0,0,0,4,7,0,2,33,.120,.176,.211,
Camilo Doval,666808,Total,SFG,59,134,0.00,30,8,0,0,0,3,23,2,1,38,.280,.406,.439,
Bryan Woo,693433,Total,SEA,22,249,0.00,53,8,0,0,0,8,8,0,1,52,.222,.249,.356,
Rob Zastryzny,642239,Total,MIL,8,14,0.00,1,0,0,0,0,0,1,0,1,2,.083,.214,.083,
Andrew Nardi,677053,Total,MIA,52,77,0.00,13,3,0,0,0,2,4,0,0,32,.181,.221,.306,
Blair Henley,668874,Total,HOU,1,5,0.00,2,0,0,0,0,0,2,0,1,0,1.000,1.000,1.000,
Grant Hartwig,701643,Total,NYM,4,14,0.00,2,0,0,0,0,0,2,0,1,2,.182,.357,.182,
Jake Cousins,664776,Total,NYY,28,48,0.00,5,0,1,0,0,0,9,1,1,16,.132,.313,.184,
Caleb Kilian,668873,Total,CHC,2,19,0.00,5,1,0,0,0,1,2,0,0,2,.294,.368,.529,
Luis Frías,666818,Total,TOR,11,21,0.00,10,3,1,0,0,2,3,0,0,3,.588,.619,1.235,
Zack Thompson,668868,Total,STL,5,25,0.00,7,1,0,0,0,1,0,0,0,3,.280,.280,.440,
Aaron Nola,605400,Total,PHI,33,419,0.00,91,19,1,0,0,18,30,0,1,88,.236,.291,.431,
Pedro Avila,658648,Total,CLE,52,134,0.00,21,3,0,0,0,1,17,0,0,31,.186,.284,.239,
Anthony Banda,607455,Total,LAD,43,87,0.00,17,4,0,0,0,0,5,0,2,24,.218,.282,.269,
Mitch Keller,656605,Total,PIT,31,400,0.00,99,21,7,0,0,16,23,0,6,96,.268,.320,.492,
Hunter Greene,668881,Total,CIN,26,300,0.00,44,10,1,0,0,6,30,0,11,94,.174,.285,.292,
Joe Musgrove,605397,Total,SDP,19,177,0.00,36,8,0,0,0,3,12,0,3,44,.225,.288,.331,
Clayton Andrews,677076,Total,NYY,1,1,0.00,1,0,0,0,0,1,0,0,0,0,1.000,1.000,4.000,
Edwin Uceta,670955,Total,TBR,28,73,0.00,15,4,0,0,0,1,3,0,0,22,.214,.247,.314,
Gavin Williams,668909,Total,CLE,16,174,0.00,33,8,1,0,0,3,17,0,2,44,.219,.301,.344,
Kevin Kelly,687330,Total,TBR,51,107,0.00,22,3,1,0,0,3,3,0,2,21,.218,.252,.356,
Nick Mears,683232,Total,MIL,50,117,0.00,31,2,0,0,0,3,10,1,0,33,.292,.350,.396,
Randy Vásquez,681190,Total,SDP,20,198,0.00,65,11,1,0,0,6,15,1,3,16,.365,.421,.539,
Trevor Richards,670950,Total,MIN,50,117,0.00,17,4,0,0,0,1,14,0,2,22,.172,.284,.242,
Adrian Morejon,670970,Total,SDP,58,109,0.00,25,6,1,0,0,1,8,0,0,29,.255,.303,.367,
Willi Castro,650489,Total,MIN,2,3,0.00,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,
Aaron Bummer,607481,Total,ATL,45,87,0.00,21,4,0,0,0,2,6,0,1,27,.266,.326,.392,
Alex Lange,656638,Total,DET,18,36,0.00,7,3,0,0,0,0,9,0,0,8,.259,.444,.370,
Jackson Jobe,695549,Total,DET,2,5,0.00,1,0,0,0,0,0,0,0,0,0,.200,.200,.200,
Tanner Gordon,685299,Total,COL,8,79,0.00,24,4,2,0,0,4,4,0,0,9,.333,.364,.611,
Cristian Mena,691441,Total,ARI,1,6,0.00,2,0,0,0,0,1,1,0,0,1,.400,.500,1.000,
Walter Pennington,679156,Total,TEX,15,41,0.00,10,1,1,0,0,1,6,0,1,10,.294,.415,.471,
Michael Kopech,656629,Total,LAD,64,141,0.00,18,2,0,0,0,4,18,2,2,55,.153,.270,.271,
José Ureña,570632,Total,TEX,32,205,0.00,42,7,1,0,0,6,21,2,2,33,.237,.320,.390,
Josh Rojas,668942,Total,SEA,2,3,0.00,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,
Yohan Ramírez,670990,Total,BOS,35,77,0.00,16,3,2,0,0,0,7,2,3,21,.242,.342,.348,
Joe Ross,605452,Total,MIL,25,150,0.00,33,5,0,0,0,4,14,1,0,28,.248,.315,.376,
Ryan Miller,668943,Total,LAA,12,28,0.00,7,1,0,0,0,2,5,2,0,7,.304,.429,.609,
JoJo Romero,668941,Total,STL,49,78,0.00,13,2,0,0,0,1,5,0,1,25,.181,.244,.250,
Andrew Saalfrank,685314,Total,ARI,2,4,0.00,1,1,0,0,0,0,2,0,0,0,.500,.750,1.000,
Connor Gillispie,687362,Total,CLE,3,19,0.00,2,0,0,0,0,0,3,0,0,5,.133,.263,.133,
Jacob Latz,656641,Total,TEX,41,83,0.00,17,3,0,0,0,1,12,1,0,19,.246,.349,.333,
Chase Silseth,681217,Total,LAA,2,28,0.00,5,1,0,0,0,2,4,0,0,7,.217,.333,.522,
Jordan Romano,605447,Total,TOR,14,32,0.00,7,3,0,0,0,2,2,1,0,9,.241,.290,.552,
Yonny Chirinos,630023,Total,MIA,6,67,0.00,21,6,0,0,0,4,7,0,0,8,.356,.418,.661,
Graham Ashcraft,668933,Total,CIN,15,162,0.00,43,4,0,0,0,7,14,0,0,24,.293,.352,.463,
José Suarez,660761,Total,LAA,21,83,0.00,19,3,2,0,0,2,10,0,1,21,.264,.361,.444,
Josh Maciejewski,656671,Total,NYY,3,7,0.00,1,0,0,0,0,0,0,0,0,3,.143,.143,.143,
Cal Quantrill,615698,Total,COL,29,326,0.00,75,18,4,0,0,9,42,0,2,55,.268,.366,.457,
Zach Logue,656657,Total,LAD,2,2,0.00,1,1,0,0,0,0,0,0,0,1,.500,.500,1.000,
Orlando Ribalta,687377,Total,WSN,4,11,0.00,5,0,0,0,0,0,1,0,0,0,.500,.545,.500,
Danny Young,664849,Total,NYM,37,67,0.00,12,1,0,0,0,0,8,0,0,22,.207,.303,.224,
Ryan Helsley,664854,Total,STL,62,123,0.00,25,3,0,0,0,2,11,2,0,37,.229,.295,.312,
Tayler Scott,605463,Total,HOU,58,144,0.00,22,3,1,0,0,5,20,0,3,29,.188,.315,.359,
Gavin Hollowell,668970,Total,CHC,1,3,0.00,1,0,0,0,0,0,0,0,0,1,.333,.333,.333,
Justin Lawrence,664875,Total,COL,51,115,0.00,31,5,0,0,0,5,16,1,4,11,.326,.443,.537,
Blake Snell,605483,Total,SFG,17,67,0.00,6,1,0,0,0,2,10,0,0,27,.105,.239,.228,
Hans Crouse,668968,Total,LAA,24,45,0.00,5,0,0,0,0,0,11,1,0,12,.152,.364,.152,
Zack Kelly,677161,Total,BOS,44,107,0.00,22,3,0,0,0,7,15,3,1,26,.242,.355,.505,
Hayden Birdsong,806185,Total,SFG,16,186,0.00,33,5,1,0,0,4,28,0,3,48,.217,.346,.342,
Brent Headrick,687396,Total,MIN,1,6,0.00,2,1,0,0,0,1,1,0,0,0,.400,.500,1.200,
Tobias Myers,668964,Total,MIL,27,281,0.00,66,7,1,0,0,9,23,0,2,53,.262,.326,.405,
Casey Legumina,668984,Total,CIN,6,18,0.00,7,1,1,0,0,1,2,0,1,2,.467,.556,.867,
Bryan Abreu,650556,Total,HOU,74,167,0.00,38,8,0,0,0,5,19,0,4,45,.266,.365,.427,
Jeffrey Springs,605488,Total,TBR,5,24,0.00,6,0,0,0,0,1,0,0,0,6,.250,.250,.375,
Kyle Freeland,607536,Total,COL,18,76,0.00,23,3,1,0,0,4,6,0,0,13,.329,.382,.571,
Adam Mazur,800049,Total,SDP,8,92,0.00,24,8,0,0,0,3,17,0,0,11,.329,.446,.562,
Spencer Turnbull,605513,Total,PHI,17,102,0.00,15,4,0,0,0,3,10,0,4,25,.170,.284,.318,
Zach McKinstry,656716,Total,DET,3,3,0.00,1,0,0,0,0,1,0,0,0,0,.333,.333,1.333,
Spencer Arrighetti,681293,Total,HOU,29,340,0.00,70,17,1,0,0,9,43,0,3,100,.240,.341,.397,
Brusdar Graterol,660813,Total,LAD,6,11,0.00,1,0,0,0,0,0,0,0,0,4,.091,.091,.091,
Anthony Maldonado,687424,Total,MIA,16,38,0.00,8,1,2,0,0,0,4,2,0,5,.235,.316,.382,
Danny Mendick,664901,Total,CWS,1,3,0.00,2,0,0,0,0,0,0,0,0,0,.667,.667,.667,
Trevor Megill,656730,Total,MIL,44,81,0.00,15,2,0,0,0,1,8,2,1,23,.208,.296,.278,
Tylor Megill,656731,Total,NYM,16,172,0.00,34,8,1,0,0,3,19,0,2,50,.230,.322,.358,
Eduard Bazardo,660825,Total,SEA,23,49,0.00,12,1,0,0,0,2,5,0,0,13,.273,.347,.432,
Gregory Soto,642397,Total,BAL,59,96,0.00,23,5,1,0,0,2,9,0,4,23,.277,.375,.434,
Yennier Cano,666974,Total,BAL,54,85,0.00,22,5,1,0,0,3,7,1,0,12,.286,.341,.494,
MacKenzie Gore,669022,Total,WSN,31,185,0.00,46,8,2,0,0,6,19,0,3,40,.282,.368,.466,
Leo Rivas,660844,Total,SEA,2,6,0.00,1,1,0,0,0,0,0,0,0,0,.167,.167,.333,
Yimi García,554340,Total,SEA,35,68,0.00,14,4,0,0,0,6,8,3,0,22,.233,.324,.600,
Andrew Abbott,671096,Total,CIN,23,133,0.00,31,6,0,0,0,2,7,0,2,25,.252,.301,.350,
Anthony Misiewicz,664948,Total,NYY,1,1,0.00,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,
Jordan Montgomery,656756,Total,ARI,22,88,0.00,20,7,0,0,0,1,10,0,0,18,.260,.341,.390,
Enyel De Los Santos,660853,Total,CWS,52,101,0.00,23,5,1,0,0,7,12,1,0,20,.258,.347,.573,
Michael King,650633,Total,SDP,31,390,0.00,77,14,1,0,0,9,38,1,5,94,.223,.308,.347,
Seth Lugo,607625,Total,KCR,33,443,0.00,99,22,5,0,0,7,32,1,6,101,.246,.309,.377,
Logan Allen,671106,Total,CLE,19,73,0.00,16,1,0,0,0,4,5,0,2,16,.242,.315,.439,
Mike Burrows,681347,Total,PIT,1,10,0.00,2,0,0,0,0,1,2,0,0,1,.250,.400,.625,
Erik Miller,669062,Total,SFG,67,108,0.00,15,5,0,0,0,0,15,0,1,40,.163,.287,.217,
Sammy Peralta,671111,Total,CWS,9,29,0.00,10,3,1,0,0,1,3,0,0,5,.385,.448,.692,
Bryse Wilson,669060,Total,MIL,33,195,0.00,46,5,2,0,0,9,21,0,0,36,.264,.344,.471,
Jake Eder,671109,Total,CWS,1,2,0.00,0,0,0,0,0,0,1,0,0,0,.000,.500,.000,
Sean Newcomb,656794,Total,OAK,4,9,0.00,0,0,0,0,0,0,1,0,1,3,.000,.222,.000,
Jackson Rutledge,671131,Total,WSN,2,15,0.00,3,1,0,0,0,0,1,0,1,2,.231,.333,.308,
Nick Nelson,656793,Total,PHI,4,9,0.00,2,0,0,0,0,0,1,0,0,3,.250,.333,.250,
John Means,607644,Total,BAL,4,15,0.00,0,0,0,0,0,0,1,0,0,3,.000,.067,.000,
DL Hall,669084,Total,MIL,12,44,0.00,9,2,0,0,0,0,3,0,2,10,.237,.318,.289,
Steven Okert,595345,Total,MIN,40,65,0.00,11,3,0,0,0,1,4,0,2,14,.193,.266,.298,
Parker Mushinski,656786,Total,HOU,9,23,0.00,7,0,0,0,0,0,1,0,1,1,.350,.391,.350,
Angel Chivilli,683409,Total,COL,27,67,0.00,15,1,2,0,0,2,7,0,0,12,.250,.328,.433,
Aaron Civale,650644,Total,MIL,31,333,0.00,77,16,0,0,0,15,26,0,4,86,.254,.321,.455,
Albert Suárez,544150,Total,BAL,30,262,0.00,64,15,1,0,0,10,27,1,0,48,.275,.349,.476,
Luis Ortiz,656814,Total,PHI,1,1,0.00,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,
José Quijada,650671,Total,LAA,21,31,0.00,2,0,0,0,0,0,8,0,1,12,.091,.355,.091,
Jorge Alcala,660896,Total,MIN,49,107,0.00,18,4,0,0,0,4,10,1,0,30,.188,.264,.354,
Jeremiah Estrada,669093,Total,SDP,54,104,0.00,13,3,0,0,0,1,10,0,0,37,.141,.223,.207,
Gus Varland,681402,Total,CWS,21,43,0.00,11,2,1,0,0,0,3,0,0,9,.275,.326,.375,
Kody Clemens,665019,Total,PHI,1,2,0.00,0,0,0,0,0,0,1,0,0,0,.000,.500,.000,
Eric Orze,679358,Total,NYM,2,6,0.00,2,0,0,0,0,0,2,0,0,1,.500,.667,.500,
Zack Wheeler,554430,Total,PHI,32,418,0.00,83,20,4,0,0,15,39,0,3,111,.221,.299,.416,
Tyler Matzek,554431,Total,ATL,11,20,0.00,6,0,1,0,0,1,1,0,0,5,.316,.350,.579,
John McMillon,669111,Total,MIA,9,27,0.00,5,0,0,0,0,1,3,0,0,4,.208,.296,.333,
Domingo Germán,593334,Total,PIT,7,50,0.00,12,1,0,0,0,1,6,1,1,9,.286,.388,.381,
A.J. Puk,640462,Total,ARI,49,91,0.00,15,3,1,0,0,1,4,0,1,32,.176,.222,.271,
Kyle Finnegan,640448,Total,WSN,60,118,0.00,23,1,1,0,0,5,12,2,0,33,.221,.299,.394,
Hunter Harvey,640451,Total,KCR,44,110,0.00,29,9,0,0,0,2,7,2,3,25,.293,.358,.444,
Sean Manaea,640455,Total,NYM,27,158,0.00,36,5,0,0,0,7,11,0,2,47,.248,.310,.428,
Matt Krook,640454,Total,BAL,1,1,0.00,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,
Gerson Garabito,642520,Total,TEX,18,52,0.00,10,3,0,0,0,1,7,0,2,13,.233,.365,.372,
Luke Little,681432,Total,CHC,26,48,0.00,7,2,0,0,0,0,6,0,0,15,.167,.271,.214,
Michael Petersen,656848,Total,MIA,15,37,0.00,7,2,0,0,0,1,7,1,0,5,.250,.378,.429,
David Peterson,656849,Total,NYM,21,128,0.00,26,1,0,0,0,3,6,0,3,38,.218,.273,.303,
Adbert Alzolay,640470,Total,CHC,17,37,0.00,10,1,0,0,0,3,4,0,0,5,.303,.378,.606,
Jesse Chavez,445926,Total,ATL,42,116,0.00,26,3,1,0,0,2,14,1,0,19,.257,.348,.366,
Joe Boyle,671212,Total,OAK,13,123,0.00,25,5,1,0,0,2,24,0,2,28,.258,.415,.392,
Drew Rasmussen,656876,Total,TBR,16,63,0.00,9,2,0,0,0,0,3,0,0,22,.153,.190,.186,
Kyle Hurt,669165,Total,LAD,3,16,0.00,5,2,0,0,0,0,0,0,0,2,.313,.313,.438,
Jonathan Loáisiga,642528,Total,NYY,3,6,0.00,1,0,0,0,0,0,0,0,0,0,.167,.167,.167,
Alex Wood,622072,Total,OAK,7,51,0.00,17,4,0,0,0,1,3,0,2,9,.370,.431,.522,
Yency Almonte,622075,Total,CHC,12,21,0.00,3,0,1,0,0,0,1,1,0,7,.158,.190,.263,
Alex Young,622065,Total,NYM,12,25,0.00,7,2,0,0,0,1,3,0,0,8,.318,.400,.545,
Freddy Peralta,642547,Total,MIL,32,373,0.00,69,12,1,0,0,9,37,0,1,104,.208,.288,.332,
Jonathan Hernández,642546,Total,SEA,29,83,0.00,20,4,1,0,0,4,14,0,0,16,.294,.415,.559,
Jonathan Heasley,669169,Total,BAL,4,8,0.00,5,0,0,0,0,0,0,0,0,1,.625,.625,.625,
Sean Reid-Foley,656887,Total,NYM,19,37,0.00,4,1,0,0,0,0,6,0,0,11,.133,.270,.167,
Ryne Nelson,669194,Total,ARI,28,314,0.00,70,18,4,0,0,10,20,2,2,58,.243,.294,.438,
Tejay Antone,622088,Total,CIN,3,6,0.00,1,1,0,0,0,0,2,0,0,2,.250,.500,.500,
Drew Thorpe,689672,Total,CWS,9,89,0.00,16,7,0,0,0,2,12,0,1,12,.216,.330,.392,
Lake Bachar,669199,Total,MIA,8,22,0.00,5,0,0,0,0,1,3,0,0,6,.263,.364,.421,
Frankie Montas,593423,Total,MIL,30,342,0.00,81,15,1,0,0,16,40,0,5,67,.276,.370,.497,
Emmanuel Rivera,656896,Total,MIA,4,10,0.00,4,0,0,0,0,0,0,0,0,0,.400,.400,.400,
Ranger Suarez,624133,Total,PHI,26,118,0.00,29,8,1,0,0,3,3,0,2,28,.259,.291,.429,
Alek Jacob,689690,Total,SDP,7,26,0.00,3,0,1,0,0,0,1,0,2,8,.136,.231,.227,
Keegan Akin,669211,Total,BAL,62,140,0.00,25,6,2,0,0,2,8,0,1,41,.192,.245,.315,
Pierce Johnson,572955,Total,ATL,51,101,0.00,18,4,0,0,0,3,11,0,0,35,.200,.287,.344,
Ryder Ryan,656924,Total,PIT,14,40,0.00,11,1,1,0,0,1,7,0,0,7,.344,.450,.531,
Eli Morgan,669212,Total,CLE,30,74,0.00,16,4,0,0,0,2,4,1,1,11,.235,.288,.382,
Corbin Burnes,669203,Total,BAL,32,373,0.00,75,8,0,0,0,8,24,0,0,81,.216,.265,.307,
Drew Smith,622098,Total,NYM,19,30,0.00,8,2,0,0,0,2,4,0,0,7,.308,.400,.615,
Gerardo Reyes,622103,Total,OAK,3,8,0.00,1,1,0,0,0,0,2,0,0,2,.167,.375,.333,
Dallas Keuchel,572971,Total,MIL,4,20,0.00,5,0,0,0,0,1,1,0,0,8,.263,.300,.421,
Luis García,472610,Total,BOS,55,111,0.00,26,6,0,0,0,3,10,2,2,25,.265,.342,.418,
Kyle Leahy,681517,Total,STL,33,76,0.00,19,7,0,0,0,3,5,0,1,16,.271,.329,.500,
Brooks Raley,548384,Total,NYM,4,5,0.00,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,
Ross Stripling,548389,Total,OAK,21,206,0.00,65,16,0,0,0,4,7,2,0,25,.333,.351,.477,
Bryce Elder,693821,Total,ATL,10,121,0.00,36,5,0,0,0,5,11,0,2,19,.336,.405,.523,
Jairo Iriarte,683568,Total,CWS,5,14,0.00,1,0,0,0,0,0,5,0,0,3,.125,.429,.125,
Tanner Scott,656945,Total,SDP,55,77,0.00,9,4,0,0,0,0,8,0,0,31,.132,.224,.191,
Michel Otañez,671305,Total,OAK,33,52,0.00,7,1,0,0,0,1,8,0,2,23,.171,.327,.268,
Dean Kremer,665152,Total,BAL,24,283,0.00,55,8,0,0,0,12,32,0,1,65,.221,.311,.398,
Emmanuel Ramirez,642629,Total,MIA,13,36,0.00,10,3,1,0,0,1,4,0,1,5,.323,.417,.581,
Kenta Maeda,628317,Total,DET,28,233,0.00,57,13,1,0,0,9,17,0,2,51,.274,.328,.476,
Dylan Lee,669276,Total,ATL,42,78,0.00,21,5,1,0,0,3,0,0,0,31,.273,.273,.481,
Joe Mantiply,573009,Total,ARI,63,105,0.00,21,5,2,0,0,1,3,0,0,26,.206,.229,.324,
Pavin Smith,656976,Total,ARI,1,3,0.00,0,0,0,0,0,0,1,0,1,0,.000,.667,.000,
Joel Kuhnel,669270,Total,TBR,5,18,0.00,3,1,0,0,0,0,0,0,0,2,.167,.167,.222,
Anthony Molina,683627,Total,COL,32,115,0.00,28,4,1,0,0,2,16,1,0,19,.289,.383,.412,
Justin Steele,657006,Total,CHC,23,108,0.00,18,1,0,0,0,2,7,0,3,32,.188,.259,.260,
Edgardo Henriquez,683618,Total,LAD,3,8,0.00,1,0,0,0,0,0,1,0,0,2,.143,.250,.143,
Dedniel Núñez,673380,Total,NYM,22,47,0.00,9,2,0,0,0,1,3,0,0,16,.205,.255,.318,
Alec Marsh,679525,Total,KCR,26,309,0.00,70,22,0,0,0,9,18,0,10,61,.251,.317,.427,
Sean Reynolds,669308,Total,SDP,8,21,0.00,6,2,0,0,0,0,4,0,1,7,.375,.524,.500,
Nick Pivetta,601713,Total,BOS,27,289,0.00,50,9,2,0,0,11,21,1,1,90,.188,.249,.361,
Jason Foley,671345,Total,DET,58,101,0.00,16,2,1,0,0,3,14,2,0,21,.188,.300,.341,
Robert Suarez,663158,Total,SDP,60,127,0.00,17,1,0,0,0,4,13,0,0,41,.150,.238,.265,
Logan Gilbert,669302,Total,SEA,33,358,0.00,72,21,0,0,0,12,18,0,1,107,.213,.254,.382,
Dennis Santana,642701,Total,PIT,53,95,0.00,14,5,1,0,0,2,12,0,1,31,.171,.284,.329,
Génesis Cabrera,650893,Total,TOR,58,108,0.00,23,4,0,0,0,5,9,0,2,19,.242,.318,.442,
Diego Castillo,650895,Total,MIN,7,17,0.00,3,0,0,0,0,0,3,0,0,2,.231,.353,.231,
Erik Swanson,657024,Total,TOR,39,72,0.00,15,3,0,0,0,6,7,0,0,17,.231,.306,.554,
Cristopher Sánchez,650911,Total,PHI,28,154,0.00,36,5,1,0,0,2,6,0,0,32,.247,.276,.336,
Touki Toussaint,657053,Total,CWS,11,55,0.00,22,5,0,0,0,2,8,0,0,7,.468,.545,.702,
Wade Miley,489119,Total,MIL,2,3,0.00,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,
Tyler Wells,669330,Total,BAL,3,21,0.00,6,0,0,0,0,0,2,0,0,1,.316,.381,.316,
Charlie Morton,450203,Total,ATL,30,381,0.00,74,17,1,0,0,9,49,1,17,104,.237,.368,.385,
Ryan Thompson,657044,Total,ARI,63,124,0.00,29,2,3,0,0,2,6,2,1,17,.254,.293,.377,
Mitch Spence,687765,Total,OAK,35,292,0.00,78,23,2,0,0,10,15,0,4,69,.287,.332,.496,
Héctor Neris,593576,Total,HOU,57,126,0.00,22,4,0,0,0,1,20,0,1,33,.214,.341,.282,
Josh Staumont,622251,Total,MIN,20,37,0.00,8,1,0,0,0,0,4,0,0,9,.242,.324,.273,
Josh Sborz,622250,Total,TEX,16,26,0.00,7,1,0,0,0,1,1,0,0,7,.280,.308,.440,
Shane Baz,669358,Total,TBR,14,167,0.00,24,4,0,0,0,6,18,0,2,33,.164,.263,.315,
Dillon Tate,622253,Total,TOR,29,49,0.00,10,2,0,0,0,1,5,0,0,5,.233,.306,.349,
Tommy Nance,667297,Total,TOR,17,34,0.00,4,0,1,0,0,1,7,2,0,7,.148,.324,.333,
Cole Tucker,657061,Total,LAA,1,2,0.00,0,0,0,0,0,0,1,0,0,0,.000,.500,.000,
